dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002199,24.232000,0.002480,0.099212,1.984242,39.684848,0.000060
0.050000,0.009495,24.232001,0.009777,0.145926,0.934287,-20.999100,0.000257
0.050000,0.021656,24.232006,0.021937,0.243214,1.945759,20.229431,0.000586
0.050000,0.038681,24.232020,0.038963,0.340508,1.945868,0.002175,0.001046
0.050000,0.060572,24.232050,0.060853,0.437809,1.946020,0.003050,0.001637
0.050000,0.087328,24.232103,0.087609,0.535120,1.946217,0.003928,0.002357
0.050000,0.118950,24.232191,0.119231,0.632443,1.946457,0.004813,0.003206
0.050000,0.155439,24.232326,0.155720,0.729780,1.946742,0.005703,0.004184
0.050000,0.196795,24.232522,0.197077,0.827133,1.947073,0.006602,0.005289
0.050000,0.243019,24.232795,0.243302,0.924506,1.947448,0.007508,0.006519
0.050000,0.294113,24.233162,0.294397,1.021899,1.947869,0.008425,0.007873
0.050000,0.350077,24.233644,0.350363,1.119316,1.948337,0.009351,0.009350
0.050000,0.410911,24.234262,0.411201,1.216759,1.948851,0.010288,0.010948
0.050000,0.476618,24.235038,0.476912,1.314229,1.949413,0.011237,0.012665
0.050000,0.547198,24.235996,0.547499,1.411730,1.950023,0.012198,0.014498
0.050000,0.622652,24.237164,0.622962,1.509264,1.950681,0.013171,0.016447
0.050000,0.702982,24.238568,0.703304,1.606834,1.951389,0.014157,0.018507
0.050000,0.788188,24.240238,0.788526,1.704441,1.952147,0.015156,0.020677
0.050000,0.878271,24.242204,0.878630,1.802089,1.952955,0.016167,0.022954
0.050000,0.973232,24.244497,0.973619,1.899780,1.953815,0.017190,0.025335
0.050000,1.073072,24.247151,1.073495,1.997516,1.954726,0.018225,0.027817
0.050000,1.177793,24.250200,1.178260,2.095301,1.955690,0.019272,0.030396
0.050000,1.287395,24.253680,1.287917,2.193136,1.956706,0.020330,0.033069
0.050000,1.401878,24.257626,1.402468,2.291025,1.957776,0.021398,0.035833
0.050000,1.521243,24.262075,1.521917,2.388970,1.958900,0.022475,0.038683
0.050000,1.645492,24.267067,1.646265,2.486974,1.960078,0.023560,0.041616
0.050000,1.774624,24.272639,1.775517,2.585039,1.961310,0.024652,0.044627
0.050000,1.908639,24.278831,1.909676,2.683169,1.962598,0.025749,0.047712
0.050000,2.047539,24.285684,2.048744,2.781366,1.963940,0.026851,0.050866
0.050000,2.191322,24.293236,2.192726,2.879633,1.965338,0.027955,0.054085
0.050000,2.339989,24.301530,2.341624,2.977972,1.966791,0.029061,0.057363
0.050000,2.493541,24.310605,2.495444,3.076387,1.968300,0.030166,0.060696
0.050000,2.651976,24.320503,2.654188,3.174881,1.969863,0.031269,0.064078
0.050000,2.815295,24.331264,2.817860,3.273455,1.971481,0.032368,0.067504
0.050000,2.983496,24.342929,2.986466,3.372112,1.973155,0.033462,0.070967
0.050000,3.156580,24.355538,3.160009,3.470857,1.974882,0.034548,0.074462
0.050000,3.334547,24.369131,3.338493,3.569690,1.976663,0.035626,0.077984
0.050000,3.517394,24.383746,3.521924,3.668615,1.978498,0.036694,0.081524
0.050000,3.705122,24.399421,3.710306,3.767634,1.980386,0.037750,0.085078
0.050000,3.897731,24.416195,3.903643,3.866750,1.982325,0.038793,0.088639
0.050000,4.095219,24.434102,4.101942,3.965966,1.984316,0.039822,0.092199
0.050000,4.297586,24.453177,4.305206,4.065284,1.986358,0.040837,0.095752
0.050000,4.504832,24.473454,4.513441,4.164706,1.988450,0.041835,0.099291
0.050000,4.716956,24.494965,4.726653,4.264236,1.990591,0.042817,0.102808
0.050000,4.933958,24.517738,4.944847,4.363875,1.992780,0.043783,0.106296
0.050000,5.155838,24.541801,5.168028,4.463626,1.995017,0.044732,0.109747
0.050000,5.382597,24.567181,5.396202,4.563491,1.997300,0.045665,0.113153
0.050000,5.614235,24.593900,5.629376,4.663472,1.999629,0.046583,0.116507
0.050000,5.850752,24.621979,5.867555,4.763572,2.002003,0.047486,0.119801
0.050000,6.092151,24.651436,6.110744,4.863793,2.004422,0.048375,0.123025
0.050000,6.338434,24.682285,6.358951,4.964138,2.006885,0.049252,0.126172
0.050000,6.589602,24.714538,6.612182,5.064607,2.009390,0.050118,0.129233
0.050000,6.845658,24.748205,6.870442,5.165204,2.011939,0.050976,0.132200
0.050000,7.106607,24.783288,7.133738,5.265931,2.014531,0.051829,0.135063
0.050000,7.372452,24.819790,7.402078,5.366789,2.017165,0.052678,0.137813
0.050000,7.643199,24.857708,7.675467,5.467781,2.019841,0.053527,0.140443
0.050000,7.918853,24.897033,7.953912,5.568909,2.022560,0.054379,0.142941
0.050000,8.199422,24.937756,8.237421,5.670175,2.025322,0.055236,0.145299
0.050000,8.484913,24.979858,8.526000,5.771581,2.028127,0.056103,0.147507
0.050000,8.775336,25.023320,8.819657,5.873130,2.030976,0.056983,0.149555
0.050000,9.070700,25.068114,9.118398,5.974824,2.033870,0.057880,0.151434
0.050000,9.371016,25.114210,9.422231,6.076664,2.036810,0.058796,0.153134
0.050000,9.676297,25.161570,9.731164,6.178654,2.039797,0.059735,0.154644
0.050000,9.986556,25.210150,10.045203,6.280796,2.042832,0.060701,0.155953
0.050000,10.301809,25.259901,10.364358,6.383091,2.045916,0.061697,0.157052
0.050000,10.622072,25.310767,10.688635,6.485544,2.049053,0.062724,0.157930
0.050000,10.947363,25.362686,11.018043,6.588156,2.052242,0.063784,0.158576
0.050000,11.277700,25.415588,11.352590,6.690930,2.055486,0.064880,0.158978
0.050000,11.613105,25.469397,11.692283,6.793870,2.058786,0.066011,0.159125
0.050000,11.949000,25.523290,12.032474,6.803818,0.198967,-37.196380,0.159010
0.050000,12.280496,25.576394,12.368197,6.714456,-1.787232,-39.723998,0.158639
0.050000,12.607297,25.628580,12.699138,6.618827,-1.912597,-2.507289,0.158023
0.050000,12.929405,25.679775,13.025290,6.523034,-1.915849,-0.065038,0.157174
0.050000,13.246824,25.729912,13.346644,6.427082,-1.919045,-0.063934,0.156102
0.050000,13.559554,25.778931,13.663192,6.330972,-1.922189,-0.062865,0.154818
0.050000,13.867596,25.826777,13.974928,6.234708,-1.925280,-0.061830,0.153333
0.050000,14.170948,25.873404,14.281843,6.138292,-1.928322,-0.060828,0.151656
0.050000,14.469609,25.918770,14.583929,6.041727,-1.931314,-0.059856,0.149799
0.050000,14.763575,25.962838,14.881180,5.945014,-1.934260,-0.058911,0.147771
0.050000,15.052842,26.005579,15.173587,5.848156,-1.937159,-0.057990,0.145583
0.050000,15.337406,26.046966,15.461145,5.751155,-1.940014,-0.057089,0.143243
0.050000,15.617260,26.086980,15.743846,5.654014,-1.942824,-0.056206,0.140762
0.050000,15.892399,26.125604,16.021682,5.556734,-1.945591,-0.055336,0.138149
0.050000,16.162815,26.162828,16.294648,5.459318,-1.948315,-0.054476,0.135413
0.050000,16.428500,26.198645,16.562737,5.361769,-1.950996,-0.053623,0.132563
0.050000,16.689446,26.233052,16.825941,5.264087,-1.953635,-0.052773,0.129609
0.050000,16.945643,26.266051,17.084255,5.166275,-1.956231,-0.051924,0.126560
0.050000,17.197083,26.297646,17.337672,5.068336,-1.958784,-0.051071,0.123423
0.050000,17.443754,26.327847,17.586185,4.970271,-1.961295,-0.050214,0.120208
0.050000,17.685648,26.356665,17.829789,4.872083,-1.963762,-0.049348,0.116923
0.050000,17.922753,26.384115,18.068478,4.773774,-1.966186,-0.048473,0.113576
0.050000,18.155059,26.410216,18.302245,4.675346,-1.968565,-0.047585,0.110176
0.050000,18.382554,26.434988,18.531086,4.576801,-1.970900,-0.046685,0.106730
0.050000,18.605228,26.458455,18.754993,4.478141,-1.973188,-0.045769,0.103247
0.050000,18.823069,26.480642,18.973961,4.379370,-1.975430,-0.044839,0.099733
0.050000,19.036067,26.501577,19.187986,4.280489,-1.977625,-0.043892,0.096197
0.050000,19.244211,26.521290,19.397061,4.181500,-1.979771,-0.042929,0.092646
0.050000,19.447489,26.539814,19.601181,4.082407,-1.981868,-0.041949,0.089086
0.050000,19.645891,26.557181,19.800341,3.983211,-1.983916,-0.040953,0.085525
0.050000,19.839406,26.573427,19.994537,3.883915,-1.985913,-0.039942,0.081971
0.050000,20.028024,26.588588,20.183763,3.784522,-1.987859,-0.038915,0.078428
0.050000,20.211734,26.602701,20.368015,3.685035,-1.989753,-0.037874,0.074904
0.050000,20.390527,26.615805,20.547288,3.585455,-1.991594,-0.036820,0.071405
0.050000,20.564394,26.627939,20.721577,3.485786,-1.993381,-0.035755,0.067938
0.050000,20.733324,26.639143,20.890879,3.386030,-1.995115,-0.034679,0.064508
0.050000,20.897310,26.649458,21.055188,3.286190,-1.996795,-0.033594,0.061120
0.050000,21.056342,26.658925,21.214502,3.186269,-1.998420,-0.032502,0.057781
0.050000,21.210412,26.667584,21.368815,3.086270,-1.999990,-0.031404,0.054496
0.050000,21.359513,26.675477,21.518125,2.986195,-2.001505,-0.030302,0.051270
0.050000,21.503637,26.682644,21.662427,2.886046,-2.002965,-0.029197,0.048107
0.050000,21.642777,26.689128,21.801718,2.785828,-2.004370,-0.028092,0.045014
0.050000,21.776927,26.694968,21.935996,2.685542,-2.005719,-0.026988,0.041994
0.050000,21.906081,26.700205,22.065255,2.585191,-2.007014,-0.025886,0.039051
0.050000,22.030232,26.704878,22.189494,2.484778,-2.008253,-0.024789,0.036191
0.050000,22.149375,26.709027,22.308709,2.384307,-2.009438,-0.023696,0.033417
0.050000,22.263505,26.712689,22.422898,2.283778,-2.010568,-0.022611,0.030732
0.050000,22.372618,26.715902,22.532058,2.183196,-2.011645,-0.021533,0.028141
0.050000,22.476708,26.718702,22.636186,2.082562,-2.012668,-0.020465,0.025648
0.050000,22.575773,26.721125,22.735280,1.981881,-2.013639,-0.019405,0.023254
0.050000,22.669807,26.723205,22.829338,1.881153,-2.014556,-0.018358,0.020964
0.050000,22.758809,26.724974,22.918357,1.780382,-2.015422,-0.017320,0.018781
0.050000,22.842774,26.726464,23.002335,1.679570,-2.016237,-0.016296,0.016707
0.050000,22.921700,26.727705,23.081271,1.578720,-2.017001,-0.015283,0.014745
0.050000,22.995585,26.728727,23.155163,1.477834,-2.017716,-0.014284,0.012897
0.050000,23.064426,26.729555,23.224009,1.376915,-2.018380,-0.013296,0.011166
0.050000,23.128220,26.730216,23.287807,1.275965,-2.018996,-0.012321,0.009553
0.050000,23.186967,26.730733,23.346556,1.174987,-2.019564,-0.011359,0.008061
0.050000,23.240665,26.731130,23.400256,1.073983,-2.020085,-0.010408,0.006692
0.050000,23.289312,26.731425,23.448903,0.972955,-2.020558,-0.009469,0.005446
0.050000,23.332907,26.731638,23.492499,0.871905,-2.020985,-0.008541,0.004326
0.050000,23.371448,26.731785,23.531040,0.770837,-2.021366,-0.007623,0.003333
0.050000,23.404936,26.731883,23.564528,0.669752,-2.021702,-0.006715,0.002468
0.050000,23.433368,26.731942,23.592961,0.568652,-2.021993,-0.005816,0.001732
0.050000,23.456745,26.731976,23.616338,0.467540,-2.022239,-0.004924,0.001125
0.050000,23.475066,26.731992,23.634659,0.366418,-2.022441,-0.004038,0.000649
0.050000,23.488331,26.731998,23.647923,0.265288,-2.022599,-0.003159,0.000304
0.050000,23.496538,26.732000,23.656131,0.164153,-2.022713,-0.002283,0.000090
0.050000,23.499689,26.732000,23.659281,0.063013,-2.022784,-0.001412,0.000008
0.050000,23.500000,26.732000,23.659592,0.006222,-1.135837,17.738933,6.283185
0.050000,23.500000,26.732000,23.659592,0.000000,-0.124433,20.228090,6.283185
