dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002286,22.768000,0.002480,0.099212,1.984242,39.684848,0.000060
0.050000,0.009872,22.768001,0.010066,0.151710,1.049955,-18.685748,0.000257
0.050000,0.022514,22.768007,0.022708,0.252846,2.022726,19.455416,0.000586
0.050000,0.040213,22.768021,0.040407,0.353977,2.022617,-0.002176,0.001046
0.050000,0.062968,22.768052,0.063162,0.455100,2.022464,-0.003051,0.001637
0.050000,0.090778,22.768107,0.090973,0.556214,2.022268,-0.003930,0.002357
0.050000,0.123644,22.768199,0.123838,0.657315,2.022027,-0.004814,0.003206
0.050000,0.161564,22.768339,0.161759,0.758402,2.021742,-0.005705,0.004184
0.050000,0.204537,22.768542,0.204732,0.859473,2.021412,-0.006604,0.005289
0.050000,0.252563,22.768826,0.252758,0.960524,2.021036,-0.007511,0.006519
0.050000,0.305639,22.769208,0.305836,1.061555,2.020615,-0.008427,0.007873
0.050000,0.363765,22.769708,0.363964,1.162563,2.020147,-0.009354,0.009350
0.050000,0.426939,22.770350,0.427141,1.263544,2.019633,-0.010292,0.010948
0.050000,0.495159,22.771155,0.495366,1.364498,2.019070,-0.011241,0.012665
0.050000,0.568423,22.772150,0.568637,1.465421,2.018460,-0.012202,0.014498
0.050000,0.646729,22.773362,0.646953,1.566311,2.017802,-0.013175,0.016447
0.050000,0.730075,22.774819,0.730311,1.667166,2.017094,-0.014161,0.018507
0.050000,0.818457,22.776551,0.818710,1.767982,2.016336,-0.015159,0.020677
0.050000,0.911873,22.778589,0.912148,1.868759,2.015527,-0.016170,0.022954
0.050000,1.010319,22.780967,1.010623,1.969492,2.014667,-0.017194,0.025335
0.050000,1.113791,22.783718,1.114132,2.070180,2.013756,-0.018229,0.027817
0.050000,1.222286,22.786877,1.222673,2.170819,2.012792,-0.019276,0.030396
0.050000,1.335799,22.790480,1.336243,2.271408,2.011776,-0.020333,0.033069
0.050000,1.454326,22.794565,1.454840,2.371943,2.010705,-0.021401,0.035833
0.050000,1.577861,22.799170,1.578462,2.472423,2.009582,-0.022477,0.038683
0.050000,1.706400,22.804334,1.707104,2.572843,2.008404,-0.023562,0.041616
0.050000,1.839936,22.810097,1.840764,2.673201,2.007171,-0.024654,0.044627
0.050000,1.978463,22.816497,1.979438,2.773495,2.005883,-0.025751,0.047712
0.050000,2.121974,22.823577,2.123125,2.873722,2.004541,-0.026852,0.050866
0.050000,2.270464,22.831377,2.271819,2.973880,2.003143,-0.027956,0.054085
0.050000,2.423923,22.839938,2.425517,3.073964,2.001690,-0.029061,0.057363
0.050000,2.582345,22.849301,2.584215,3.173973,2.000182,-0.030166,0.060696
0.050000,2.745722,22.859508,2.747911,3.273904,1.998618,-0.031268,0.064078
