dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002103,14.232000,0.002472,0.098867,1.977335,39.546692,0.000291
0.050000,0.008835,14.232005,0.009204,0.134655,0.715771,-25.231264,0.001223
0.050000,0.020055,14.232028,0.020424,0.224384,1.794576,21.576083,0.002779
0.050000,0.035757,14.232089,0.036126,0.314051,1.793334,-0.024836,0.004964
0.050000,0.055938,14.232217,0.056308,0.403631,1.791597,-0.034731,0.007783
0.050000,0.080592,14.232452,0.080963,0.493099,1.789368,-0.044578,0.011243
0.050000,0.109711,14.232839,0.110084,0.582432,1.786651,-0.054343,0.015356
0.050000,0.143286,14.233435,0.143664,0.671604,1.783451,-0.064000,0.020130
0.050000,0.181306,14.234304,0.181694,0.760593,1.779778,-0.073468,0.025579
0.050000,0.223757,14.235520,0.224163,0.849375,1.775642,-0.082707,0.031717
0.050000,0.270624,14.237167,0.271059,0.937928,1.771063,-0.091589,0.038559
0.050000,0.321890,14.239339,0.322371,1.026231,1.766063,-0.100004,0.046123
0.050000,0.377533,14.242138,0.378084,1.114265,1.760673,-0.107803,0.054426
0.050000,0.437529,14.245679,0.438185,1.202012,1.754934,-0.114775,0.063490
0.050000,0.501851,14.250085,0.502658,1.289457,1.748899,-0.120691,0.073333
0.050000,0.570468,14.255493,0.571487,1.376589,1.742636,-0.125260,0.083978
0.050000,0.643344,14.262047,0.644657,1.463400,1.736230,-0.128128,0.095446
0.050000,0.720439,14.269906,0.722151,1.549889,1.729785,-0.128905,0.107759
0.050000,0.801708,14.279239,0.803954,1.636061,1.723430,-0.127101,0.120940
0.050000,0.887100,14.290225,0.890051,1.721927,1.717320,-0.122199,0.135008
0.050000,0.976560,14.303058,0.980426,1.807509,1.711641,-0.113577,0.149984
0.050000,1.070024,14.317942,1.075068,1.892839,1.706611,-0.100601,0.165883
0.050000,1.167424,14.335091,1.173966,1.977963,1.702482,-0.082573,0.182722
0.050000,1.268684,14.354733,1.277113,2.062941,1.699543,-0.058787,0.200509
0.050000,1.373720,14.377105,1.384506,2.147846,1.698114,-0.028574,0.219249
0.050000,1.482442,14.402456,1.496144,2.232774,1.698548,0.008676,0.238941
0.050000,1.594752,14.431044,1.612036,2.317835,1.701219,0.053424,0.259576
0.050000,1.710546,14.463133,1.732194,2.403160,1.706515,0.105922,0.281135
0.050000,1.829711,14.498999,1.856639,2.488901,1.714820,0.166106,0.303591
0.050000,1.952127,14.538921,1.985401,2.575226,1.726498,0.233559,0.326902
