dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002528,12.768000,0.002472,0.098867,1.977335,39.546692,0.000291
0.050000,0.010626,12.768006,0.010569,0.161945,1.261563,-14.315432,0.001223
0.050000,0.024123,12.768033,0.024066,0.269950,2.160093,17.970597,0.002779
0.050000,0.043024,12.768107,0.042967,0.378016,2.161334,0.024816,0.004964
0.050000,0.067332,12.768262,0.067276,0.486170,2.163069,0.034704,0.007783
0.050000,0.097052,12.768544,0.096997,0.594434,2.165296,0.044540,0.011243
0.050000,0.132191,12.769012,0.132139,0.702835,2.168011,0.054303,0.015356
0.050000,0.172754,12.769731,0.172709,0.811395,2.171208,0.063935,0.020130
0.050000,0.218749,12.770782,0.218716,0.920139,2.174878,0.073412,0.025579
0.050000,0.270182,12.772256,0.270170,1.029090,2.179009,0.082618,0.031717
0.050000,0.327061,12.774255,0.327084,1.138269,2.183584,0.091497,0.038559
0.050000,0.389390,12.776896,0.389469,1.247698,2.188579,0.099903,0.046123
0.050000,0.457174,12.780306,0.457339,1.357396,2.193963,0.107675,0.054426
0.050000,0.530415,12.784628,0.530708,1.467381,2.199695,0.114634,0.063490
0.050000,0.609114,12.790020,0.609591,1.577667,2.205721,0.120529,0.073333
0.050000,0.693267,12.796652,0.694004,1.688266,2.211975,0.125073,0.083978
0.050000,0.782864,12.804711,0.783963,1.799184,2.218371,0.127929,0.095446
0.050000,0.877893,12.814398,0.879485,1.910424,2.224805,0.128672,0.107759
0.050000,0.978332,12.825932,0.980584,2.021982,2.231148,0.126852,0.120940
0.050000,1.084152,12.839547,1.087276,2.133844,2.237243,0.121911,0.135008
0.050000,1.195313,12.855494,1.199575,2.245989,2.242907,0.113276,0.149984
0.050000,1.311765,12.874038,1.317495,2.358385,2.247920,0.100272,0.165883
0.050000,1.433443,12.895463,1.441044,2.470987,2.252032,0.082221,0.182722
0.050000,1.560265,12.920064,1.570231,2.583735,2.254953,0.058425,0.200509
0.050000,1.692135,12.948152,1.705058,2.696553,2.256363,0.028196,0.219249
0.050000,1.828933,12.980050,1.845526,2.809348,2.255910,-0.009055,0.238941
