dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002606,14.231999,0.002479,0.099155,1.983094,39.661876,6.282779
0.050000,0.011002,14.231991,0.010875,0.167926,1.375428,-12.153320,6.281468
0.050000,0.025002,14.231951,0.024875,0.279998,2.241434,17.320120,6.279275
0.050000,0.044614,14.231844,0.044488,0.392252,2.245083,0.072990,6.276186
0.050000,0.069852,14.231617,0.069726,0.504764,2.250233,0.102997,6.272186
0.050000,0.100729,14.231201,0.100606,0.617610,2.256923,0.133804,6.267250
0.050000,0.137266,14.230512,0.137150,0.730870,2.265203,0.165604,6.261351
0.050000,0.179484,14.229444,0.179381,0.844626,2.275130,0.198526,6.254454
0.050000,0.227407,14.227877,0.227329,0.958965,2.286768,0.232771,6.246520
0.050000,0.281060,14.225667,0.281028,1.073974,2.300183,0.268300,6.237503
0.050000,0.340471,14.222650,0.340515,1.189746,2.315439,0.305120,6.227351
0.050000,0.405666,14.218636,0.405834,1.306376,2.332592,0.343056,6.216005
0.050000,0.476672,14.213411,0.477032,1.423959,2.351678,0.381715,6.203400
0.050000,0.553512,14.206730,0.554162,1.542595,2.372704,0.420524,6.189465
0.050000,0.636204,14.198319,0.637281,1.662376,2.395627,0.458463,6.174120
0.050000,0.724759,14.187870,0.726450,1.783393,2.420338,0.494209,6.157281
0.050000,0.819177,14.175038,0.821737,1.905724,2.446622,0.525684,6.138859
0.050000,0.919443,14.159439,0.923208,2.029431,2.474133,0.550233,6.118760
0.050000,1.025519,14.140649,1.030935,2.154548,2.502344,0.564215,6.096886
0.050000,1.137341,14.118200,1.144989,2.281073,2.530493,0.562975,6.073142
0.050000,1.254811,14.091581,1.265437,2.408949,2.557529,0.540723,6.047436
0.050000,1.377782,14.060238,1.392339,2.538052,2.582054,0.490499,6.019682
0.050000,1.506054,14.023577,1.525747,2.668166,2.602279,0.404495,5.989813
0.050000,1.639360,13.980974,1.665696,2.798966,2.615999,0.274408,5.957781
0.050000,1.777353,13.931779,1.812196,2.929997,2.620626,0.092527,5.923570
0.050000,1.919597,13.875336,1.965229,3.060661,2.613285,-0.146815,5.887205
0.050000,2.065557,13.810999,2.124739,3.190212,2.591019,-0.445324,5.848762
0.050000,2.214598,13.738159,2.290628,3.317767,2.551101,-0.798361,5.808377
0.050000,2.365985,13.656267,2.462745,3.442340,2.491457,-1.192879,5.766253
0.050000,2.518897,13.564869,2.640889,3.562897,2.411147,-1.606186,5.722666
0.050000,2.672447,13.463629,2.824811,3.678438,2.310814,-2.006677,5.677958
