dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002011,12.768000,0.002479,0.099155,1.983094,39.661876,6.282779
0.050000,0.008488,12.767993,0.008956,0.129538,0.607665,-27.508566,6.281468
0.050000,0.019277,12.767962,0.019745,0.215776,1.724752,22.341737,6.279275
0.050000,0.034368,12.767880,0.034836,0.301831,1.721101,-0.073029,6.276186
0.050000,0.053749,12.767706,0.054217,0.387628,1.715948,-0.103059,6.272186
0.050000,0.077401,12.767387,0.077872,0.473091,1.709254,-0.133880,6.267250
0.050000,0.105303,12.766860,0.105779,0.558139,1.700970,-0.165689,6.261351
0.050000,0.137427,12.766048,0.137914,0.642691,1.691036,-0.198680,6.254454
0.050000,0.173741,12.764861,0.174247,0.726660,1.679390,-0.232908,6.246520
0.050000,0.214205,12.763195,0.214744,0.809959,1.665965,-0.268498,6.237503
0.050000,0.258772,12.760931,0.259369,0.892494,1.650697,-0.305367,6.227351
0.050000,0.307388,12.757939,0.308078,0.974170,1.633530,-0.343341,6.216005
0.050000,0.359991,12.754068,0.360822,1.054891,1.614426,-0.382080,6.203400
0.050000,0.416506,12.749154,0.417550,1.134560,1.593379,-0.420937,6.189465
0.050000,0.476848,12.743017,0.478204,1.213082,1.570429,-0.459003,6.174120
0.050000,0.540922,12.735458,0.542723,1.290366,1.545688,-0.494810,6.157281
0.050000,0.608617,12.726259,0.611039,1.366335,1.519367,-0.526435,6.138859
0.050000,0.679807,12.715185,0.683086,1.440925,1.491811,-0.551111,6.118760
0.050000,0.754352,12.701982,0.758791,1.514103,1.463549,-0.565243,6.096886
0.050000,0.832095,12.686376,0.838084,1.585870,1.435341,-0.564167,6.073142
0.050000,0.912861,12.668076,0.920898,1.656281,1.408237,-0.542073,6.047436
0.050000,0.996462,12.646770,1.007171,1.725463,1.383635,-0.492034,6.019682
0.050000,1.082692,12.622128,1.096853,1.793630,1.363328,-0.406143,5.989813
0.050000,1.171331,12.593802,1.189908,1.861106,1.349521,-0.276138,5.957781
0.050000,1.262151,12.561428,1.286326,1.928346,1.344808,-0.094268,5.923570
0.050000,1.354913,12.524622,1.386123,1.995949,1.352068,0.145215,5.887205
0.050000,1.449378,12.482986,1.489356,2.064663,1.374269,0.444017,5.848762
0.050000,1.545303,12.436106,1.596125,2.135370,1.414147,0.797552,5.808377
0.050000,1.642454,12.383554,1.706578,2.209059,1.473785,1.192771,5.766253
0.050000,1.740596,12.324892,1.820916,2.286766,1.554135,1.606995,5.722666
0.050000,1.839505,12.259675,1.939391,2.369494,1.654561,2.008515,5.677958
0.050000,1.938959,12.187460,2.062297,2.458122,1.772552,2.359823,5.632532
0.050000,2.038736,12.107817,2.189962,2.553308,1.903714,2.623242,5.586835
0.050000,2.138616,12.020342,2.322733,2.655414,2.042120,2.768124,5.541341
0.050000,2.238378,11.924669,2.460956,2.764463,2.180996,2.777511,5.496522
0.050000,2.337799,11.820489,2.604963,2.880144,2.313603,2.652135,5.452833
0.050000,2.436663,11.707557,2.755056,3.001849,2.434118,2.410302,5.410683
0.050000,2.534770,11.585704,2.911494,3.128765,2.538303,2.083709,5.370428
0.050000,2.631939,11.454837,3.074492,3.259957,2.623838,1.710699,5.332361
0.050000,2.728027,11.314932,3.244215,3.394471,2.690297,1.329180,5.296708
0.050000,2.822931,11.166035,3.420786,3.531414,2.738852,0.971088,5.263635
0.050000,2.916603,11.008244,3.604286,3.670005,2.771822,0.659412,5.233254
0.050000,3.009048,10.841701,3.794767,3.809615,2.792208,0.407716,5.205636
0.050000,3.100337,10.666577,3.992256,3.949779,2.803280,0.221438,5.180817
0.050000,3.190603,10.483066,4.196766,4.090194,2.808285,0.100113,5.158815
0.050000,3.280043,10.291369,4.408301,4.230707,2.810272,0.039725,5.139637
0.050000,3.368924,10.091692,4.626866,4.371308,2.812009,0.034743,5.123289
0.050000,3.457584,9.884238,4.852472,4.512107,2.815993,0.079681,5.109784
0.050000,3.546430,9.669203,5.085138,4.653332,2.824499,0.170130,5.099153
0.050000,3.635953,9.446777,5.324904,4.795316,2.839670,0.303421,5.091446
0.050000,3.726726,9.217142,5.571829,4.938497,2.863619,0.478961,5.086745
0.050000,3.819419,8.980476,5.826000,5.083424,2.898540,0.698421,5.085172
0.050000,3.914815,8.736956,6.087538,5.230765,2.946826,0.965735,5.086889
0.050000,4.013823,8.486768,6.356605,5.381324,3.011174,1.286946,5.092118
0.050000,4.117505,8.230117,6.633407,5.536057,3.094659,1.669706,5.101144
0.050000,4.227104,7.967245,6.918212,5.696095,3.200765,2.122128,5.114331
0.050000,4.344081,7.698458,7.211350,5.862759,3.333281,2.650304,5.132131
0.050000,4.470152,7.424165,7.513228,6.037556,3.495946,3.253320,5.155102
0.050000,4.607339,7.144939,7.824335,6.222138,3.691635,3.913779,5.183914
0.050000,4.758013,6.861603,8.145243,6.418172,3.920675,4.580800,5.219351
0.050000,4.924919,6.575356,8.476597,6.627061,4.177773,5.141950,5.262296
0.050000,5.111165,6.287957,8.819067,6.849406,4.446912,5.382774,5.313672
0.050000,5.320124,6.001954,9.173272,7.084110,4.694070,4.943176,5.374330
0.050000,5.555171,5.720940,9.539626,7.327084,4.859483,3.308259,5.444841
0.050000,5.819208,5.449755,9.918119,7.569858,4.855479,-0.080086,5.525197
0.050000,6.113955,5.194447,10.308066,7.798937,4.581592,-5.477745,5.614466
0.050000,6.439177,4.961802,10.707933,7.997328,3.967814,-12.275558,5.710547
0.050000,6.792206,4.758352,11.115389,8.149130,3.036037,-18.635537,5.810244
