dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002286,4.232000,0.002480,0.099212,1.984242,39.684848,6.283126
0.050000,0.009872,4.231999,0.010066,0.151710,1.049955,-18.685748,6.282928
0.050000,0.022514,4.231993,0.022708,0.252846,2.022726,19.455416,6.282599
0.050000,0.040213,4.231979,0.040407,0.353977,2.022617,-0.002176,6.282139
0.050000,0.062968,4.231948,0.063162,0.455100,2.022464,-0.003051,6.281549
0.050000,0.090778,4.231893,0.090973,0.556214,2.022268,-0.003930,6.280828
0.050000,0.123644,4.231801,0.123838,0.657315,2.022027,-0.004814,6.279979
0.050000,0.161564,4.231661,0.161759,0.758402,2.021742,-0.005705,6.279001
0.050000,0.204537,4.231458,0.204732,0.859473,2.021412,-0.006604,6.277897
0.050000,0.252563,4.231174,0.252758,0.960524,2.021036,-0.007511,6.276667
0.050000,0.305639,4.230792,0.305836,1.061555,2.020615,-0.008427,6.275312
0.050000,0.363765,4.230292,0.363964,1.162563,2.020147,-0.009354,6.273835
0.050000,0.426939,4.229650,0.427141,1.263544,2.019633,-0.010292,6.272237
0.050000,0.495159,4.228845,0.495366,1.364498,2.019070,-0.011241,6.270521
0.050000,0.568423,4.227850,0.568637,1.465421,2.018460,-0.012202,6.268687
0.050000,0.646729,4.226638,0.646953,1.566311,2.017802,-0.013175,6.266739
0.050000,0.730075,4.225181,0.730311,1.667166,2.017094,-0.014161,6.264678
0.050000,0.818457,4.223449,0.818710,1.767982,2.016336,-0.015159,6.262508
0.050000,0.911873,4.221411,0.912148,1.868759,2.015527,-0.016170,6.260231
0.050000,1.010319,4.219033,1.010623,1.969492,2.014667,-0.017194,6.257850
0.050000,1.113791,4.216282,1.114132,2.070180,2.013756,-0.018229,6.255368
0.050000,1.222286,4.213123,1.222673,2.170819,2.012792,-0.019276,6.252789
0.050000,1.335799,4.209520,1.336243,2.271408,2.011776,-0.020333,6.250116
0.050000,1.454326,4.205435,1.454840,2.371943,2.010705,-0.021401,6.247352
0.050000,1.577861,4.200830,1.578462,2.472423,2.009582,-0.022477,6.244502
0.050000,1.706400,4.195666,1.707104,2.572843,2.008404,-0.023562,6.241569
0.050000,1.839936,4.189903,1.840764,2.673201,2.007171,-0.024654,6.238558
0.050000,1.978463,4.183503,1.979438,2.773495,2.005883,-0.025751,6.235474
0.050000,2.121974,4.176423,2.123125,2.873722,2.004541,-0.026852,6.232319
0.050000,2.270464,4.168623,2.271819,2.973880,2.003143,-0.027956,6.229101
0.050000,2.423923,4.160062,2.425517,3.073964,2.001690,-0.029061,6.225822
0.050000,2.582345,4.150699,2.584215,3.173973,2.000182,-0.030166,6.222489
0.050000,2.745722,4.140492,2.747911,3.273904,1.998618,-0.031268,6.219107
0.050000,2.914045,4.129402,2.916598,3.373754,1.997000,-0.032367,6.215682
0.050000,3.087305,4.117386,3.090274,3.473520,1.995327,-0.033460,6.212218
0.050000,3.265492,4.104405,3.268934,3.573200,1.993600,-0.034546,6.208723
0.050000,3.448599,4.090420,3.452574,3.672791,1.991818,-0.035623,6.205202
0.050000,3.636614,4.075392,3.641189,3.772291,1.989984,-0.036690,6.201661
0.050000,3.829527,4.059283,3.834773,3.871695,1.988097,-0.037745,6.198107
0.050000,4.027329,4.042058,4.033323,3.971003,1.986157,-0.038788,6.194546
0.050000,4.230008,4.023680,4.236834,4.070212,1.984166,-0.039816,6.190986
0.050000,4.437554,4.004117,4.445300,4.169318,1.982125,-0.040830,6.187433
0.050000,4.649955,3.983335,4.658716,4.268319,1.980034,-0.041828,6.183894
0.050000,4.867202,3.961305,4.877077,4.367214,1.977893,-0.042809,6.180377
0.050000,5.089282,3.937999,5.100377,4.465999,1.975704,-0.043775,6.176889
0.050000,5.316185,3.913391,5.328610,4.564673,1.973468,-0.044723,6.173438
0.050000,5.547900,3.887457,5.561772,4.663232,1.971185,-0.045656,6.170032
0.050000,5.784416,3.860175,5.799856,4.761675,1.968857,-0.046573,6.166678
0.050000,6.025721,3.831528,6.042855,4.859999,1.966483,-0.047476,6.163385
0.050000,6.271806,3.801499,6.290766,4.958202,1.964065,-0.048364,6.160160
0.050000,6.522660,3.770077,6.543580,5.056282,1.961603,-0.049241,6.157013
0.050000,6.778273,3.737253,6.801292,5.154237,1.959097,-0.050108,6.153952
0.050000,7.038635,3.703021,7.063895,5.252065,1.956549,-0.050967,6.150986
