dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002199,2.768000,0.002480,0.099212,1.984242,39.684848,6.283126
0.050000,0.009495,2.767999,0.009777,0.145926,0.934287,-20.999100,6.282928
0.050000,0.021656,2.767994,0.021937,0.243214,1.945759,20.229431,6.282599
0.050000,0.038681,2.767980,0.038963,0.340508,1.945868,0.002175,6.282139
0.050000,0.060572,2.767950,0.060853,0.437809,1.946020,0.003050,6.281549
0.050000,0.087328,2.767897,0.087609,0.535120,1.946217,0.003928,6.280828
0.050000,0.118950,2.767809,0.119231,0.632443,1.946457,0.004813,6.279979
0.050000,0.155439,2.767674,0.155720,0.729780,1.946742,0.005703,6.279001
0.050000,0.196795,2.767478,0.197077,0.827133,1.947073,0.006602,6.277897
0.050000,0.243019,2.767205,0.243302,0.924506,1.947448,0.007508,6.276667
0.050000,0.294113,2.766838,0.294397,1.021899,1.947869,0.008425,6.275312
0.050000,0.350077,2.766356,0.350363,1.119316,1.948337,0.009351,6.273835
0.050000,0.410911,2.765738,0.411201,1.216759,1.948851,0.010288,6.272237
0.050000,0.476618,2.764962,0.476912,1.314229,1.949413,0.011237,6.270521
0.050000,0.547198,2.764004,0.547499,1.411730,1.950023,0.012198,6.268687
0.050000,0.622652,2.762836,0.622962,1.509264,1.950681,0.013171,6.266739
0.050000,0.702982,2.761432,0.703304,1.606834,1.951389,0.014157,6.264678
0.050000,0.788188,2.759762,0.788526,1.704441,1.952147,0.015156,6.262508
0.050000,0.878271,2.757796,0.878630,1.802089,1.952955,0.016167,6.260231
0.050000,0.973232,2.755503,0.973619,1.899780,1.953815,0.017190,6.257850
0.050000,1.073072,2.752849,1.073495,1.997516,1.954726,0.018225,6.255368
0.050000,1.177793,2.749800,1.178260,2.095301,1.955690,0.019272,6.252789
0.050000,1.287395,2.746320,1.287917,2.193136,1.956706,0.020330,6.250116
0.050000,1.401878,2.742374,1.402468,2.291025,1.957776,0.021398,6.247352
0.050000,1.521243,2.737925,1.521917,2.388970,1.958900,0.022475,6.244502
0.050000,1.645492,2.732933,1.646265,2.486974,1.960078,0.023560,6.241569
0.050000,1.774624,2.727361,1.775517,2.585039,1.961310,0.024652,6.238558
0.050000,1.908639,2.721169,1.909676,2.683169,1.962598,0.025749,6.235474
0.050000,2.047539,2.714316,2.048744,2.781366,1.963940,0.026851,6.232319
0.050000,2.191322,2.706764,2.192726,2.879633,1.965338,0.027955,6.229101
0.050000,2.339989,2.698470,2.341624,2.977972,1.966791,0.029061,6.225822
0.050000,2.493541,2.689395,2.495444,3.076387,1.968300,0.030166,6.222489
0.050000,2.651976,2.679497,2.654188,3.174881,1.969863,0.031269,6.219107
0.050000,2.815295,2.668736,2.817860,3.273455,1.971481,0.032368,6.215682
0.050000,2.983496,2.657071,2.986466,3.372112,1.973155,0.033462,6.212218
0.050000,3.156580,2.644462,3.160009,3.470857,1.974882,0.034548,6.208723
0.050000,3.334547,2.630869,3.338493,3.569690,1.976663,0.035626,6.205202
0.050000,3.517394,2.616254,3.521924,3.668615,1.978498,0.036694,6.201661
0.050000,3.705122,2.600579,3.710306,3.767634,1.980386,0.037750,6.198107
0.050000,3.897731,2.583805,3.903643,3.866750,1.982325,0.038793,6.194546
0.050000,4.095219,2.565898,4.101942,3.965966,1.984316,0.039822,6.190986
0.050000,4.297586,2.546823,4.305206,4.065284,1.986358,0.040837,6.187433
0.050000,4.504832,2.526546,4.513441,4.164706,1.988450,0.041835,6.183894
0.050000,4.716956,2.505035,4.726653,4.264236,1.990591,0.042817,6.180377
0.050000,4.933958,2.482262,4.944847,4.363875,1.992780,0.043783,6.176889
0.050000,5.155838,2.458199,5.168028,4.463626,1.995017,0.044732,6.173438
0.050000,5.382597,2.432819,5.396202,4.563491,1.997300,0.045665,6.170032
0.050000,5.614235,2.406100,5.629376,4.663472,1.999629,0.046583,6.166678
0.050000,5.850752,2.378021,5.867555,4.763572,2.002003,0.047486,6.163385
0.050000,6.092151,2.348564,6.110744,4.863793,2.004422,0.048375,6.160160
0.050000,6.338434,2.317715,6.358951,4.964138,2.006885,0.049252,6.157013
0.050000,6.589602,2.285462,6.612182,5.064607,2.009390,0.050118,6.153952
0.050000,6.845658,2.251795,6.870442,5.165204,2.011939,0.050976,6.150986
0.050000,7.106607,2.216712,7.133738,5.265931,2.014531,0.051829,6.148123
0.050000,7.372452,2.180210,7.402078,5.366789,2.017165,0.052678,6.145372
0.050000,7.643199,2.142292,7.675467,5.467781,2.019841,0.053527,6.142743
0.050000,7.918853,2.102967,7.953912,5.568909,2.022560,0.054379,6.140245
0.050000,8.199422,2.062244,8.237421,5.670175,2.025322,0.055236,6.137887
0.050000,8.484913,2.020142,8.526000,5.771581,2.028127,0.056103,6.135678
0.050000,8.775336,1.976680,8.819657,5.873130,2.030976,0.056983,6.133630
0.050000,9.070700,1.931886,9.118398,5.974824,2.033870,0.057880,6.131751
0.050000,9.371016,1.885790,9.422231,6.076664,2.036810,0.058796,6.130051
0.050000,9.676297,1.838430,9.731164,6.178654,2.039797,0.059735,6.128542
0.050000,9.986556,1.789850,10.045203,6.280796,2.042832,0.060701,6.127232
0.050000,10.301809,1.740099,10.364358,6.383091,2.045916,0.061697,6.126133
0.050000,10.622072,1.689233,10.688635,6.485544,2.049053,0.062724,6.125255
0.050000,10.947363,1.637314,11.018043,6.588156,2.052242,0.063784,6.124610
0.050000,11.277700,1.584412,11.352590,6.690930,2.055486,0.064880,6.124208
0.050000,11.613105,1.530603,11.692283,6.793870,2.058786,0.066011,6.124060
0.050000,11.949000,1.476710,12.032474,6.803818,0.198967,-37.196380,6.124175
0.050000,12.280496,1.423606,12.368197,6.714456,-1.787232,-39.723998,6.124546
0.050000,12.607297,1.371420,12.699138,6.618827,-1.912597,-2.507289,6.125162
0.050000,12.929405,1.320225,13.025290,6.523034,-1.915849,-0.065038,6.126011
0.050000,13.246824,1.270088,13.346644,6.427082,-1.919045,-0.063934,6.127083
0.050000,13.559554,1.221069,13.663192,6.330972,-1.922189,-0.062865,6.128367
0.050000,13.867596,1.173223,13.974928,6.234708,-1.925280,-0.061830,6.129853
0.050000,14.170948,1.126596,14.281843,6.138292,-1.928322,-0.060828,6.131529
0.050000,14.469609,1.081230,14.583929,6.041727,-1.931314,-0.059856,6.133386
0.050000,14.763575,1.037162,14.881180,5.945014,-1.934260,-0.058911,6.135414
0.050000,15.052842,0.994421,15.173587,5.848156,-1.937159,-0.057990,6.137603
0.050000,15.337406,0.953034,15.461145,5.751155,-1.940014,-0.057089,6.139942
0.050000,15.617260,0.913020,15.743846,5.654014,-1.942824,-0.056206,6.142424
0.050000,15.892399,0.874396,16.021682,5.556734,-1.945591,-0.055336,6.145037
0.050000,16.162815,0.837172,16.294648,5.459318,-1.948315,-0.054476,6.147773
0.050000,16.428500,0.801355,16.562737,5.361769,-1.950996,-0.053623,6.150622
0.050000,16.689446,0.766948,16.825941,5.264087,-1.953635,-0.052773,6.153576
0.050000,16.945643,0.733949,17.084255,5.166275,-1.956231,-0.051924,6.156626
0.050000,17.197083,0.702354,17.337672,5.068336,-1.958784,-0.051071,6.159762
0.050000,17.443754,0.672153,17.586185,4.970271,-1.961295,-0.050214,6.162977
0.050000,17.685648,0.643335,17.829789,4.872083,-1.963762,-0.049348,6.166262
0.050000,17.922753,0.615885,18.068478,4.773774,-1.966186,-0.048473,6.169609
0.050000,18.155059,0.589784,18.302245,4.675346,-1.968565,-0.047585,6.173009
0.050000,18.382554,0.565012,18.531086,4.576801,-1.970900,-0.046685,6.176455
0.050000,18.605228,0.541545,18.754993,4.478141,-1.973188,-0.045769,6.179938
0.050000,18.823069,0.519358,18.973961,4.379370,-1.975430,-0.044839,6.183452
0.050000,19.036067,0.498423,19.187986,4.280489,-1.977625,-0.043892,6.186988
0.050000,19.244211,0.478710,19.397061,4.181500,-1.979771,-0.042929,6.190540
0.050000,19.447489,0.460186,19.601181,4.082407,-1.981868,-0.041949,6.194099
0.050000,19.645891,0.442819,19.800341,3.983211,-1.983916,-0.040953,6.197660
0.050000,19.839406,0.426573,19.994537,3.883915,-1.985913,-0.039942,6.201215
0.050000,20.028024,0.411412,20.183763,3.784522,-1.987859,-0.038915,6.204757
0.050000,20.211734,0.397299,20.368015,3.685035,-1.989753,-0.037874,6.208281
0.050000,20.390527,0.384195,20.547288,3.585455,-1.991594,-0.036820,6.211780
0.050000,20.564394,0.372061,20.721577,3.485786,-1.993381,-0.035755,6.215247
0.050000,20.733324,0.360857,20.890879,3.386030,-1.995115,-0.034679,6.218678
0.050000,20.897310,0.350542,21.055188,3.286190,-1.996795,-0.033594,6.222065
0.050000,21.056342,0.341075,21.214502,3.186269,-1.998420,-0.032502,6.225404
0.050000,21.210412,0.332416,21.368815,3.086270,-1.999990,-0.031404,6.228689
0.050000,21.359513,0.324523,21.518125,2.986195,-2.001505,-0.030302,6.231916
0.050000,21.503637,0.317356,21.662427,2.886046,-2.002965,-0.029197,6.235078
0.050000,21.642777,0.310872,21.801718,2.785828,-2.004370,-0.028092,6.238171
0.050000,21.776927,0.305032,21.935996,2.685542,-2.005719,-0.026988,6.241192
0.050000,21.906081,0.299795,22.065255,2.585191,-2.007014,-0.025886,6.244134
0.050000,22.030232,0.295122,22.189494,2.484778,-2.008253,-0.024789,6.246994
0.050000,22.149375,0.290973,22.308709,2.384307,-2.009438,-0.023696,6.249769
0.050000,22.263505,0.287311,22.422898,2.283778,-2.010568,-0.022611,6.252453
0.050000,22.372618,0.284098,22.532058,2.183196,-2.011645,-0.021533,6.255044
0.050000,22.476708,0.281298,22.636186,2.082562,-2.012668,-0.020465,6.257538
0.050000,22.575773,0.278875,22.735280,1.981881,-2.013639,-0.019405,6.259931
0.050000,22.669807,0.276795,22.829338,1.881153,-2.014556,-0.018358,6.262221
0.050000,22.758809,0.275026,22.918357,1.780382,-2.015422,-0.017320,6.264404
0.050000,22.842774,0.273536,23.002335,1.679570,-2.016237,-0.016296,6.266478
0.050000,22.921700,0.272295,23.081271,1.578720,-2.017001,-0.015283,6.268440
0.050000,22.995585,0.271273,23.155163,1.477834,-2.017716,-0.014284,6.270288
0.050000,23.064426,0.270445,23.224009,1.376915,-2.018380,-0.013296,6.272020
0.050000,23.128220,0.269784,23.287807,1.275965,-2.018996,-0.012321,6.273632
0.050000,23.186967,0.269267,23.346556,1.174987,-2.019564,-0.011359,6.275124
0.050000,23.240665,0.268870,23.400256,1.073983,-2.020085,-0.010408,6.276494
0.050000,23.289312,0.268575,23.448903,0.972955,-2.020558,-0.009469,6.277739
0.050000,23.332907,0.268362,23.492499,0.871905,-2.020985,-0.008541,6.278859
0.050000,23.371448,0.268215,23.531040,0.770837,-2.021366,-0.007623,6.279852
0.050000,23.404936,0.268117,23.564528,0.669752,-2.021702,-0.006715,6.280717
0.050000,23.433368,0.268058,23.592961,0.568652,-2.021993,-0.005816,6.281454
0.050000,23.456745,0.268024,23.616338,0.467540,-2.022239,-0.004924,6.282060
0.050000,23.475066,0.268008,23.634659,0.366418,-2.022441,-0.004038,6.282536
0.050000,23.488331,0.268002,23.647923,0.265288,-2.022599,-0.003159,6.282881
0.050000,23.496538,0.268000,23.656131,0.164153,-2.022713,-0.002283,6.283095
0.050000,23.499689,0.268000,23.659281,0.063013,-2.022784,-0.001412,6.283177
0.050000,23.500000,0.268000,23.659592,0.006222,-1.135837,17.738933,6.283185
0.050000,23.500000,0.268000,23.659592,0.000000,-0.124433,20.228090,6.283185
