dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002598,24.232000,0.002461,0.098451,1.969019,39.380381,6.282812
0.050000,0.010849,24.231992,0.010713,0.165027,1.331527,-12.749841,6.281627
0.050000,0.024602,24.231957,0.024466,0.275063,2.200715,17.383765,6.279651
0.050000,0.043858,24.231862,0.043722,0.385124,2.201226,0.010221,6.276881
0.050000,0.068618,24.231662,0.068483,0.495220,2.201910,0.013671,6.273316
0.050000,0.098884,24.231297,0.098751,0.605357,2.202734,0.016477,6.268953
0.050000,0.134656,24.230695,0.134528,0.715539,2.203655,0.018423,6.263788
0.050000,0.175934,24.229771,0.175816,0.825770,2.204620,0.019301,6.257819
0.050000,0.222717,24.228426,0.222619,0.936049,2.205564,0.018889,6.251042
0.050000,0.275002,24.226546,0.274937,1.046369,2.206411,0.016930,6.243454
0.050000,0.332782,24.224006,0.332773,1.156723,2.207070,0.013180,6.235053
0.050000,0.396049,24.220666,0.396128,1.267094,2.207438,0.007366,6.225838
0.050000,0.464788,24.216374,0.465001,1.377464,2.207399,-0.000777,6.215808
0.050000,0.538981,24.210963,0.539392,1.487806,2.206823,-0.011521,6.204966
0.050000,0.618603,24.204256,0.619296,1.598084,2.205567,-0.025130,6.193316
0.050000,0.703622,24.196061,0.704709,1.708258,2.203475,-0.041836,6.180866
0.050000,0.793997,24.186176,0.795622,1.818277,2.200383,-0.061832,6.167625
0.050000,0.889678,24.174389,0.892027,1.928083,2.196120,-0.085274,6.153608
0.050000,0.990604,24.160478,0.993907,2.037608,2.190509,-0.112206,6.138834
0.050000,1.096704,24.144214,1.101246,2.146777,2.183379,-0.142607,6.123328
0.050000,1.207892,24.125360,1.214021,2.255505,2.174563,-0.176312,6.107120
0.050000,1.324071,24.103677,1.332206,2.363701,2.163912,-0.213019,6.090246
0.050000,1.445129,24.078923,1.455769,2.471266,2.151298,-0.252280,6.072750
0.050000,1.570941,24.050857,1.584674,2.578097,2.136625,-0.293460,6.054680
0.050000,1.701369,24.019241,1.718879,2.684089,2.119836,-0.335784,6.036096
0.050000,1.836258,23.983843,1.858336,2.789135,2.100921,-0.378311,6.017060
0.050000,1.975445,23.944442,2.002992,2.893131,2.079921,-0.419995,5.997646
0.050000,2.118755,23.900828,2.152791,2.995978,2.056936,-0.459704,5.977931
0.050000,2.266001,23.852806,2.307670,3.097584,2.032121,-0.496302,5.958001
0.050000,2.416992,23.800199,2.467564,3.197868,2.005686,-0.528692,5.937945
