dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002052,22.768000,0.002461,0.098451,1.969019,39.380381,6.282812
0.050000,0.008568,22.767993,0.008978,0.130326,0.637492,-26.630546,6.281627
0.050000,0.019427,22.767966,0.019837,0.217192,1.737322,21.996598,6.279651
0.050000,0.034629,22.767891,0.035039,0.304032,1.736809,-0.010252,6.276881
0.050000,0.054170,22.767733,0.054581,0.390838,1.736123,-0.013718,6.273316
0.050000,0.078048,22.767445,0.078461,0.477603,1.735297,-0.016529,6.268953
0.050000,0.106261,22.766971,0.106677,0.564322,1.734372,-0.018493,6.263788
0.050000,0.138802,22.766242,0.139226,0.650992,1.733403,-0.019389,6.257819
0.050000,0.175667,22.765182,0.176107,0.737614,1.732454,-0.018982,6.251042
0.050000,0.216851,22.763701,0.217317,0.824195,1.731602,-0.017040,6.243454
0.050000,0.262344,22.761702,0.262854,0.910741,1.730936,-0.013301,6.235053
0.050000,0.312138,22.759073,0.312717,0.997269,1.730561,-0.007504,6.225838
0.050000,0.366222,22.755696,0.366907,1.083799,1.730593,0.000628,6.215808
0.050000,0.424585,22.751440,0.425425,1.170357,1.731161,0.011364,6.204966
0.050000,0.487212,22.746164,0.488274,1.256978,1.732409,0.024960,6.193316
0.050000,0.554088,22.739718,0.555459,1.343702,1.734492,0.041657,6.180866
0.050000,0.625193,22.731941,0.626988,1.430581,1.737574,0.061656,6.167625
0.050000,0.700507,22.722663,0.702872,1.517672,1.741829,0.085088,6.153608
0.050000,0.780007,22.711705,0.783124,1.605044,1.747430,0.112031,6.138834
0.050000,0.863669,22.698880,0.867763,1.692771,1.754552,0.142439,6.123328
0.050000,0.951462,22.683993,0.956810,1.780939,1.763360,0.176159,6.107120
0.050000,1.043358,22.666842,1.050292,1.869640,1.774005,0.212893,6.090246
0.050000,1.139320,22.647219,1.148240,1.958970,1.786614,0.252178,6.072750
0.050000,1.239314,22.624912,1.250692,2.049035,1.801284,0.293401,6.054680
0.050000,1.343299,22.599705,1.357689,2.139938,1.818072,0.335768,6.036096
0.050000,1.451234,22.571380,1.469278,2.231788,1.836990,0.378351,6.017060
0.050000,1.563073,22.539720,1.585513,2.324687,1.857994,0.420090,5.997646
0.050000,1.678771,22.504508,1.706449,2.418737,1.880988,0.459864,5.977931
0.050000,1.798277,22.465531,1.832151,2.514027,1.905814,0.496523,5.958001
0.050000,1.921541,22.422583,1.962683,2.610641,1.932263,0.528979,5.937945
0.050000,2.048512,22.375464,2.098115,2.708644,1.960076,0.556262,5.917858
0.050000,2.179139,22.323985,2.238520,2.808092,1.988956,0.577601,5.897840
0.050000,2.313370,22.267968,2.383971,2.909021,2.018580,0.592484,5.877991
0.050000,2.451158,22.207250,2.534543,3.011452,2.048615,0.600699,5.858414
0.050000,2.592456,22.141683,2.690313,3.115389,2.078733,0.602370,5.839212
0.050000,2.737223,22.071138,2.851354,3.220820,2.108631,0.597945,5.820487
0.050000,2.885427,21.995506,3.017740,3.327722,2.138040,0.588183,5.802338
0.050000,3.037039,21.914699,3.189543,3.436059,2.166745,0.574105,5.784865
0.050000,3.192045,21.828648,3.366832,3.545789,2.194592,0.556938,5.768162
0.050000,3.350441,21.737312,3.549675,3.656864,2.221494,0.538042,5.752321
0.050000,3.512238,21.640671,3.738137,3.769235,2.247437,0.518851,5.737431
0.050000,3.677465,21.538731,3.932280,3.882859,2.272477,0.500799,5.723577
0.050000,3.846167,21.431523,4.132165,3.997696,2.296740,0.485275,5.710842
0.050000,4.018413,21.319105,4.337851,4.113717,2.320419,0.473576,5.699307
0.050000,4.194296,21.201561,4.549396,4.230905,2.343764,0.466888,5.689051
0.050000,4.373933,21.079002,4.766859,4.349259,2.367077,0.466267,5.680154
0.050000,4.557471,20.951569,4.990299,4.468795,2.390708,0.472631,5.672698
0.050000,4.745088,20.819433,5.219776,4.589547,2.415047,0.486767,5.666764
0.050000,4.936994,20.682797,5.455355,4.711573,2.440513,0.509326,5.662441
0.050000,5.133436,20.541900,5.697102,4.834950,2.467554,0.540810,5.659820
0.050000,5.332457,20.398633,5.942326,4.904467,1.390341,-21.544260,5.659000
0.050000,5.530320,20.256227,6.186107,4.875628,-0.576798,-39.342778,5.659987
0.050000,5.725467,20.116322,6.426223,4.802320,-1.466156,-17.787165,5.662691
0.050000,5.918062,19.979272,6.662603,4.727589,-1.494605,-0.568967,5.667016
0.050000,6.108242,19.845395,6.895179,4.651531,-1.521172,-0.531346,5.672871
0.050000,6.296124,19.714976,7.123890,4.574217,-1.546285,-0.502258,5.680169
0.050000,6.481798,19.588274,7.348675,4.495699,-1.570351,-0.481311,5.688830
0.050000,6.665331,19.465520,7.569475,4.416012,-1.593749,-0.467962,5.698772
0.050000,6.846765,19.346921,7.786234,4.335170,-1.616826,-0.461545,5.709918
0.050000,7.026119,19.232657,7.998893,4.253176,-1.639890,-0.461276,5.722188
0.050000,7.203385,19.122887,8.207394,4.170016,-1.663203,-0.466266,5.735502
0.050000,7.378532,19.017745,8.411677,4.085667,-1.686979,-0.475518,5.749781
0.050000,7.551509,18.917340,8.611682,4.000098,-1.711376,-0.487944,5.764939
0.050000,7.722239,18.821760,8.807345,3.913273,-1.736495,-0.502370,5.780892
0.050000,7.890626,18.731066,8.998603,3.825155,-1.762373,-0.517574,5.797550
0.050000,8.056554,18.645297,9.185388,3.735705,-1.788989,-0.532313,5.814824
0.050000,8.219892,18.564464,9.367633,3.644892,-1.816258,-0.545372,5.832620
0.050000,8.380492,18.488558,9.545268,3.552690,-1.844038,-0.555614,5.850842
0.050000,8.538193,18.417540,9.718222,3.459083,-1.872140,-0.562035,5.869395
0.050000,8.692825,18.351348,9.886425,3.364067,-1.900331,-0.563815,5.888183
0.050000,8.844211,18.289899,10.049808,3.267649,-1.928349,-0.560362,5.907110
0.050000,8.992170,18.233082,10.208300,3.169854,-1.955916,-0.551339,5.926081
0.050000,9.136519,18.180769,10.361836,3.070716,-1.982750,-0.536685,5.945006
0.050000,9.277076,18.132810,10.510350,2.970287,-2.008580,-0.516603,5.963795
0.050000,9.413664,18.089036,10.653782,2.868629,-2.033157,-0.491542,5.982365
0.050000,9.546113,18.049264,10.792073,2.765816,-2.056265,-0.462157,6.000637
0.050000,9.674258,18.013299,10.925169,2.661930,-2.077728,-0.429259,6.018537
0.050000,9.797946,17.980932,11.053022,2.557059,-2.097416,-0.393758,6.035999
0.050000,9.917035,17.951950,11.175587,2.451296,-2.115246,-0.356607,6.052961
0.050000,10.031394,17.926133,11.292824,2.344737,-2.131183,-0.318742,6.069369
0.050000,10.140904,17.903258,11.404698,2.237475,-2.145236,-0.281050,6.085174
0.050000,10.245459,17.883102,11.511178,2.129603,-2.157452,-0.244311,6.100337
0.050000,10.344965,17.865446,11.612238,2.021207,-2.167911,-0.209197,6.114819
0.050000,10.439340,17.850072,11.707857,1.912371,-2.176724,-0.176246,6.128592
0.050000,10.528512,17.836770,11.798015,1.803170,-2.184016,-0.145851,6.141631
0.050000,10.612420,17.825338,11.882699,1.693674,-2.189931,-0.118293,6.153915
0.050000,10.691014,17.815580,11.961896,1.583943,-2.194617,-0.093718,6.165428
0.050000,10.764250,17.807314,12.035598,1.474032,-2.198226,-0.072177,6.176159
0.050000,10.832095,17.800366,12.103797,1.363986,-2.200907,-0.053634,6.186097
0.050000,10.894519,17.794574,12.166489,1.253846,-2.202806,-0.037980,6.195237
0.050000,10.951501,17.789789,12.223671,1.143643,-2.204059,-0.025058,6.203574
0.050000,11.003022,17.785874,12.275341,1.033403,-2.204793,-0.014667,6.211106
0.050000,11.049071,17.782705,12.321499,0.923147,-2.205122,-0.006592,6.217832
0.050000,11.089636,17.780170,12.362143,0.812890,-2.205152,-0.000593,6.223750
0.050000,11.124711,17.778173,12.397275,0.702641,-2.204973,0.003575,6.228863
0.050000,11.154291,17.776629,12.426896,0.592408,-2.204666,0.006141,6.233172
