dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002090,14.232000,0.002465,0.098619,1.972371,39.447423,0.000337
0.050000,0.008704,14.232006,0.009080,0.132290,0.673436,-25.978694,0.001406
0.050000,0.019728,14.232031,0.020104,0.220485,1.763900,21.809275,0.003186
0.050000,0.035162,14.232100,0.035538,0.308683,1.763957,0.001130,0.005678
0.050000,0.055006,14.232244,0.055383,0.396886,1.764063,0.002129,0.008881
0.050000,0.079260,14.232507,0.079638,0.485099,1.764247,0.003682,0.012795
0.050000,0.107923,14.232940,0.108304,0.573326,1.764545,0.005946,0.017419
0.050000,0.140995,14.233605,0.141383,0.661576,1.764999,0.009083,0.022751
0.050000,0.178475,14.234571,0.178876,0.749859,1.765662,0.013258,0.028789
0.050000,0.220363,14.235918,0.220785,0.838189,1.766593,0.018630,0.035530
0.050000,0.266656,14.237736,0.267114,0.926582,1.767861,0.025359,0.042969
0.050000,0.317353,14.240123,0.317867,1.015059,1.769541,0.033591,0.051101
0.050000,0.372450,14.243184,0.373049,1.103644,1.771714,0.043472,0.059919
0.050000,0.431944,14.247037,0.432668,1.192368,1.774470,0.055122,0.069412
0.050000,0.495830,14.251805,0.496731,1.281263,1.777902,0.068639,0.079569
0.050000,0.564101,14.257621,0.565249,1.370368,1.782107,0.084098,0.090376
0.050000,0.636750,14.264624,0.638236,1.459728,1.787183,0.101527,0.101815
0.050000,0.713770,14.272963,0.715705,1.549389,1.793229,0.120911,0.113866
0.050000,0.795149,14.282791,0.797675,1.639406,1.800338,0.142178,0.126504
0.050000,0.880875,14.294271,0.884167,1.729836,1.808598,0.165196,0.139702
0.050000,0.970936,14.307567,0.975204,1.820740,1.818086,0.189762,0.153426
0.050000,1.065316,14.322851,1.070813,1.912183,1.828866,0.215598,0.167641
0.050000,1.163997,14.340298,1.171025,2.004233,1.840984,0.242363,0.182304
0.050000,1.266961,14.360086,1.275873,2.096956,1.854466,0.269635,0.197369
0.050000,1.374186,14.382392,1.385394,2.190421,1.869313,0.296943,0.212787
0.050000,1.485651,14.407397,1.499629,2.284697,1.885501,0.323765,0.228501
0.050000,1.601330,14.435278,1.618621,2.379845,1.902979,0.349555,0.244452
0.050000,1.721200,14.466212,1.742417,2.475929,1.921667,0.373764,0.260576
0.050000,1.845232,14.500370,1.871068,2.573002,1.941460,0.395870,0.276805
0.050000,1.973401,14.537919,2.004623,2.671113,1.962231,0.415403,0.293069
0.050000,2.105679,14.579017,2.143138,2.770305,1.983829,0.431976,0.309294
0.050000,2.242039,14.623813,2.286669,2.870610,2.006095,0.445312,0.325403
0.050000,2.382458,14.672448,2.435272,2.972053,2.028858,0.455261,0.341320
0.050000,2.526912,14.725049,2.589004,3.074650,2.051949,0.461817,0.356965
0.050000,2.675381,14.781729,2.747925,3.178410,2.075205,0.465129,0.372259
0.050000,2.827851,14.842587,2.912091,3.283334,2.098480,0.465488,0.387122
0.050000,2.984312,14.907704,3.081562,3.389417,2.121646,0.463327,0.401475
0.050000,3.144763,14.977144,3.256394,3.496647,2.144606,0.459199,0.415240
0.050000,3.309209,15.050953,3.436645,3.605011,2.167294,0.453756,0.428340
0.050000,3.477667,15.129154,3.622370,3.714495,2.189680,0.447721,0.440697
0.050000,3.650166,15.211751,3.813624,3.825084,2.211773,0.441863,0.452237
0.050000,3.826747,15.298725,4.010462,3.936765,2.233621,0.436970,0.462885
0.050000,4.007467,15.390032,4.212939,4.049531,2.255313,0.433824,0.472567
0.050000,4.192400,15.485605,4.421108,4.163379,2.276972,0.433181,0.481209
0.050000,4.381637,15.585351,4.635024,4.278317,2.298759,0.435751,0.488736
0.050000,4.575293,15.689147,4.854742,4.394361,2.320869,0.442187,0.495073
0.050000,4.773500,15.796845,5.080319,4.511537,2.343522,0.453065,0.500143
0.050000,4.976419,15.908261,5.311813,4.629885,2.366965,0.468872,0.503865
0.050000,5.184233,16.023181,5.549286,4.749458,2.391465,0.489984,0.506156
0.050000,5.394947,16.140126,5.790277,4.819826,1.407357,-19.682159,0.506928
0.050000,5.604434,16.256392,6.029865,4.791759,-0.561344,-39.374010,0.506167
0.050000,5.810712,16.370473,6.265587,4.714449,-1.546208,-19.697276,0.503951
0.050000,6.013877,16.482063,6.497381,4.635868,-1.571608,-0.508012,0.500367
0.050000,6.214007,16.590887,6.725185,4.556081,-1.595738,-0.482590,0.495496
0.050000,6.411165,16.696698,6.948942,4.475139,-1.618852,-0.462280,0.489417
0.050000,6.605393,16.799280,7.168596,4.393079,-1.641193,-0.446824,0.482207
0.050000,6.796719,16.898442,7.384092,4.309930,-1.662985,-0.435840,0.473940
0.050000,6.985151,16.994019,7.595378,4.225709,-1.684427,-0.428851,0.464690
0.050000,7.170680,17.085870,7.802399,4.140424,-1.705693,-0.425307,0.454528
0.050000,7.353283,17.173878,8.005103,4.054078,-1.726923,-0.424597,0.443529
0.050000,7.532916,17.257948,8.203436,3.966666,-1.748226,-0.426067,0.431763
0.050000,7.709526,17.338009,8.397345,3.878183,-1.769678,-0.429032,0.419305
0.050000,7.883042,17.414011,8.586776,3.788617,-1.791317,-0.432794,0.406229
0.050000,8.053381,17.485927,8.771674,3.697959,-1.813150,-0.436658,0.392608
0.050000,8.220449,17.553749,8.951984,3.606202,-1.835148,-0.439960,0.378519
0.050000,8.384143,17.617493,9.127651,3.513339,-1.857252,-0.442078,0.364037
0.050000,8.544350,17.677191,9.298620,3.419370,-1.879375,-0.442462,0.349237
0.050000,8.700952,17.732899,9.464835,3.324300,-1.901408,-0.440651,0.334195
0.050000,8.853825,17.784688,9.626242,3.228139,-1.923222,-0.436292,0.318985
0.050000,9.002842,17.832649,9.782787,3.130905,-1.944680,-0.429148,0.303680
0.050000,9.147876,17.876887,9.934418,3.032623,-1.965635,-0.419111,0.288353
0.050000,9.288800,17.917525,10.081084,2.933326,-1.985945,-0.406196,0.273071
0.050000,9.425489,17.954696,10.222737,2.833052,-2.005472,-0.390539,0.257903
0.050000,9.557820,17.988547,10.359329,2.731848,-2.024091,-0.372382,0.242912
0.050000,9.685677,18.019235,10.490817,2.629763,-2.041694,-0.352056,0.228158
0.050000,9.808948,18.046924,10.617160,2.526853,-2.058192,-0.329957,0.213696
0.050000,9.927529,18.071785,10.738319,2.423178,-2.073518,-0.306532,0.199581
0.050000,10.041322,18.093992,10.854259,2.318796,-2.087630,-0.282236,0.185859
0.050000,10.150238,18.113725,10.964947,2.213771,-2.100507,-0.257537,0.172575
0.050000,10.254194,18.131162,11.070355,2.108163,-2.112151,-0.232872,0.159768
0.050000,10.353116,18.146480,11.170457,2.002034,-2.122583,-0.208643,0.147475
0.050000,10.446940,18.159856,11.265229,1.895442,-2.131843,-0.185208,0.135726
0.050000,10.535606,18.171461,11.354651,1.788443,-2.139986,-0.162865,0.124550
0.050000,10.619063,18.181462,11.438706,1.681089,-2.147079,-0.141847,0.113971
0.050000,10.697268,18.190020,11.517377,1.573429,-2.153196,-0.122339,0.104009
0.050000,10.770182,18.197288,11.590653,1.465508,-2.158419,-0.104458,0.094683
0.050000,10.837773,18.203411,11.658521,1.357366,-2.162832,-0.088264,0.086008
0.050000,10.900015,18.208527,11.720973,1.249040,-2.166521,-0.073785,0.077995
0.050000,10.956886,18.212762,11.778001,1.140562,-2.169570,-0.060986,0.070656
