dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002584,12.768000,0.002465,0.098619,1.972371,39.447423,0.000337
0.050000,0.010762,12.768008,0.010644,0.163565,1.298934,-13.468734,0.001406
0.050000,0.024392,12.768039,0.024274,0.272607,2.180841,17.638131,0.003186
0.050000,0.043474,12.768123,0.043356,0.381646,2.180783,-0.001153,0.005678
0.050000,0.068008,12.768302,0.067890,0.490680,2.180675,-0.002165,0.008881
0.050000,0.097991,12.768627,0.097876,0.599705,2.180489,-0.003726,0.012795
0.050000,0.133423,12.769162,0.133311,0.708714,2.180189,-0.005999,0.017419
0.050000,0.174300,12.769983,0.174196,0.817701,2.179731,-0.009148,0.022751
0.050000,0.220617,12.771177,0.220529,0.926654,2.179065,-0.013332,0.028789
0.050000,0.272368,12.772842,0.272307,1.035560,2.178129,-0.018713,0.035530
0.050000,0.329544,12.775088,0.329527,1.144403,2.176857,-0.025447,0.042969
0.050000,0.392133,12.778034,0.392185,1.253162,2.175172,-0.033692,0.051101
0.050000,0.460119,12.781812,0.460276,1.361812,2.172993,-0.043577,0.059919
0.050000,0.533481,12.786562,0.533792,1.470323,2.170232,-0.055230,0.069412
0.050000,0.612195,12.792437,0.612725,1.578663,2.166794,-0.068754,0.079569
0.050000,0.696231,12.799595,0.697065,1.686792,2.162584,-0.084213,0.090376
0.050000,0.785550,12.808205,0.786798,1.794667,2.157501,-0.101641,0.101815
0.050000,0.880109,12.818443,0.881910,1.902240,2.151450,-0.121020,0.113866
0.050000,0.979857,12.830490,0.982383,2.009456,2.144336,-0.142281,0.126504
0.050000,1.084734,12.844534,1.088196,2.116260,2.136072,-0.165288,0.139702
0.050000,1.194672,12.860764,1.199325,2.222589,2.126580,-0.189837,0.153426
0.050000,1.309594,12.879375,1.315744,2.328379,2.115797,-0.215659,0.167641
0.050000,1.429414,12.900559,1.437423,2.433563,2.103677,-0.242397,0.182304
0.050000,1.554037,12.924508,1.564326,2.538073,2.090195,-0.269645,0.197369
0.050000,1.683361,12.951411,1.696418,2.641840,2.075349,-0.296922,0.212787
0.050000,1.817272,12.981450,1.833658,2.744798,2.059164,-0.323710,0.228501
0.050000,1.955654,13.014803,1.976002,2.846883,2.041690,-0.349465,0.244452
0.050000,2.098380,13.051634,2.123404,2.948033,2.023008,-0.373637,0.260576
0.050000,2.245320,13.092100,2.275814,3.048194,2.003223,-0.395706,0.276805
0.050000,2.396339,13.136341,2.433179,3.147317,1.982463,-0.415203,0.293069
0.050000,2.551300,13.184485,2.595448,3.245361,1.960876,-0.431743,0.309294
0.050000,2.710067,13.236641,2.762562,3.342292,1.938623,-0.445050,0.325403
0.050000,2.872505,13.292901,2.934466,3.438086,1.915875,-0.454974,0.341320
0.050000,3.038480,13.353337,3.111103,3.532726,1.892799,-0.461513,0.356965
0.050000,3.207867,13.418001,3.292413,3.626204,1.869558,-0.464813,0.372259
0.050000,3.380547,13.486923,3.478339,3.718519,1.846300,-0.465169,0.387122
0.050000,3.556409,13.560113,3.668823,3.809676,1.823149,-0.463012,0.401475
0.050000,3.735354,13.637556,3.863807,3.899687,1.800204,-0.458898,0.415240
0.050000,3.917297,13.719215,4.063235,3.988563,1.777531,-0.453477,0.428340
0.050000,4.102166,13.805033,4.267051,4.076321,1.755157,-0.447472,0.440697
0.050000,4.289903,13.894924,4.475200,4.162975,1.733074,-0.441653,0.452237
0.050000,4.480469,13.988785,4.687627,4.248536,1.711234,-0.436806,0.462885
0.050000,4.673841,14.086482,4.904277,4.333014,1.689548,-0.433715,0.472567
0.050000,4.870014,14.187863,5.125098,4.416408,1.667891,-0.433135,0.481209
0.050000,5.069000,14.292746,5.350034,4.498714,1.646103,-0.435778,0.488736
0.050000,5.270833,14.400924,5.579029,4.579913,1.623988,-0.442296,0.495073
0.050000,5.475562,14.512164,5.812028,4.659979,1.601324,-0.453269,0.500143
0.050000,5.683258,14.626202,6.048972,4.738872,1.577865,-0.469185,0.503865
0.050000,5.894008,14.742745,6.289799,4.816540,1.553344,-0.490423,0.506156
0.050000,6.105710,14.860239,6.531920,4.842420,0.517607,-20.714738,0.506928
0.050000,6.314224,14.975964,6.770395,4.769496,-1.458472,-39.521572,0.506167
0.050000,6.517662,15.088476,7.002873,4.649568,-2.398568,-18.801937,0.503951
0.050000,6.716227,15.197540,7.229418,4.530908,-2.373194,0.507489,0.500367
0.050000,6.910092,15.302957,7.450091,4.413454,-2.349084,0.482203,0.495496
0.050000,7.099408,15.404561,7.664949,4.297155,-2.325983,0.462009,0.489417
0.050000,7.284302,15.502215,7.874047,4.181972,-2.303651,0.446652,0.482207
0.050000,7.464882,15.595809,8.077441,4.067879,-2.281863,0.435753,0.473940
0.050000,7.641236,15.685261,8.275184,3.954858,-2.260421,0.428840,0.464690
0.050000,7.813433,15.770513,8.467329,3.842900,-2.239153,0.425360,0.454528
0.050000,7.981528,15.851530,8.653930,3.732005,-2.217918,0.424706,0.443529
0.050000,8.145560,15.928300,8.835038,3.622174,-2.196607,0.426223,0.431763
0.050000,8.305558,16.000832,9.010709,3.513417,-2.175145,0.429228,0.419305
0.050000,8.461538,16.069155,9.180996,3.405742,-2.153494,0.433021,0.406229
0.050000,8.613507,16.133316,9.345954,3.299160,-2.131649,0.436911,0.392608
0.050000,8.761463,16.193382,9.505638,3.193678,-2.109637,0.440229,0.378519
0.050000,8.905400,16.249433,9.660103,3.089302,-2.087519,0.442356,0.364037
0.050000,9.045304,16.301567,9.809405,2.986033,-2.065382,0.442742,0.349237
0.050000,9.181157,16.349895,9.953598,2.883866,-2.043336,0.440926,0.334195
0.050000,9.312939,16.394541,10.092738,2.782791,-2.021508,0.436555,0.318985
0.050000,9.440628,16.435638,10.226877,2.682789,-2.000038,0.429394,0.303680
0.050000,9.564199,16.473331,10.356069,2.583835,-1.979072,0.419334,0.288353
0.050000,9.683627,16.507770,10.480364,2.485898,-1.958752,0.406392,0.273071
0.050000,9.798888,16.539115,10.599811,2.388937,-1.939217,0.390706,0.257903
0.050000,9.909957,16.567528,10.714456,2.292907,-1.920591,0.372517,0.242912
0.050000,10.016810,16.593175,10.824344,2.197758,-1.902983,0.352159,0.228158
0.050000,10.119424,16.616225,10.929516,2.103434,-1.886482,0.330029,0.213696
0.050000,10.217780,16.636845,11.030009,2.009876,-1.871153,0.306570,0.199581
0.050000,10.311856,16.655206,11.125861,1.917024,-1.857041,0.282249,0.185859
0.050000,10.401635,16.671472,11.217101,1.824816,-1.844165,0.257523,0.172575
0.050000,10.487101,16.685807,11.303761,1.733190,-1.832523,0.232834,0.159768
0.050000,10.568238,16.698372,11.385865,1.642085,-1.822093,0.208588,0.147475
0.050000,10.645034,16.709320,11.463437,1.551443,-1.812837,0.185136,0.135726
0.050000,10.717476,16.718802,11.536498,1.461209,-1.804698,0.162778,0.124550
0.050000,10.785556,16.726960,11.605064,1.371328,-1.797610,0.141755,0.113971
0.050000,10.849263,16.733932,11.669152,1.281753,-1.791498,0.122240,0.104009
0.050000,10.908591,16.739845,11.728774,1.192439,-1.786280,0.104353,0.094683
0.050000,10.963533,16.744823,11.783941,1.103345,-1.781872,0.088164,0.086008
0.050000,11.014085,16.748978,11.834663,1.014436,-1.778188,0.073681,0.077995
