dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002426,4.232000,0.002490,0.099587,1.991748,39.834960,6.283019
0.050000,0.010289,4.231996,0.010352,0.157256,1.153363,-16.767691,6.282481
0.050000,0.023392,4.231981,0.023456,0.262062,2.096119,18.855113,6.281587
0.050000,0.041733,4.231941,0.041797,0.366821,2.095187,-0.018641,6.280339
0.050000,0.065309,4.231855,0.065372,0.471515,2.093884,-0.026066,6.278743
0.050000,0.094115,4.231699,0.094179,0.576126,2.092211,-0.033458,6.276803
0.050000,0.128145,4.231443,0.128210,0.680634,2.090171,-0.040806,6.274528
0.050000,0.167395,4.231052,0.167461,0.785022,2.087766,-0.048097,6.271924
0.050000,0.211855,4.230486,0.211925,0.889272,2.085000,-0.055312,6.269002
0.050000,0.261517,4.229701,0.261593,0.993366,2.081878,-0.062441,6.265772
0.050000,0.316371,4.228649,0.316458,1.097287,2.078405,-0.069460,6.262246
0.050000,0.376406,4.227277,0.376509,1.201016,2.074588,-0.076349,6.258437
0.050000,0.441610,4.225530,0.441735,1.304538,2.070433,-0.083088,6.254360
0.050000,0.511967,4.223348,0.512127,1.407835,2.065951,-0.089651,6.250029
0.050000,0.587465,4.220671,0.587672,1.510893,2.061150,-0.096016,6.245460
0.050000,0.668084,4.217434,0.668357,1.613695,2.056042,-0.102157,6.240673
0.050000,0.753809,4.213572,0.754168,1.716227,2.050639,-0.108052,6.235684
0.050000,0.844618,4.209019,0.845092,1.818474,2.044956,-0.113677,6.230513
0.050000,0.940493,4.203707,0.941113,1.920425,2.039005,-0.119009,6.225181
0.050000,1.041409,4.197569,1.042216,2.022065,2.032803,-0.124038,6.219709
0.050000,1.147345,4.190537,1.148385,2.123383,2.026366,-0.128737,6.214119
0.050000,1.258276,4.182544,1.259604,2.224369,2.019711,-0.133110,6.208433
0.050000,1.374177,4.173527,1.375854,2.325011,2.012854,-0.137139,6.202675
0.050000,1.495020,4.163421,1.497119,2.425302,2.005812,-0.140836,6.196869
0.050000,1.620779,4.152168,1.623381,2.525232,1.998602,-0.144201,6.191039
0.050000,1.751426,4.139708,1.754621,2.624794,1.991239,-0.147252,6.185211
0.050000,1.886932,4.125990,1.890820,2.723981,1.983739,-0.150011,6.179411
0.050000,2.027269,4.110963,2.031959,2.822787,1.976114,-0.152506,6.173664
