dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002183,2.768000,0.002490,0.099587,1.991748,39.834960,6.283019
0.050000,0.009258,2.767997,0.009565,0.141507,0.838385,-23.067270,6.282481
0.050000,0.021052,2.767983,0.021359,0.235875,1.887377,20.979843,6.281587
0.050000,0.037567,2.767946,0.037873,0.330291,1.888308,0.018634,6.280339
0.050000,0.058805,2.767869,0.059112,0.424771,1.889611,0.026058,6.278743
0.050000,0.084771,2.767728,0.085079,0.519336,1.891284,0.033448,6.276803
0.050000,0.115471,2.767498,0.115779,0.614002,1.893323,0.040794,6.274528
0.050000,0.150908,2.767145,0.151218,0.708788,1.895727,0.048082,6.271924
0.050000,0.191091,2.766633,0.191404,0.803713,1.898492,0.055299,6.269002
0.050000,0.236025,2.765923,0.236343,0.898793,1.901614,0.062424,6.265772
0.050000,0.285718,2.764970,0.286046,0.994048,1.905086,0.069443,6.262246
0.050000,0.340178,2.763725,0.340521,1.089493,1.908902,0.076333,6.258437
0.050000,0.399414,2.762138,0.399778,1.185146,1.913056,0.083072,6.254360
0.050000,0.463435,2.760153,0.463829,1.281023,1.917538,0.089637,6.250029
0.050000,0.532249,2.757712,0.532686,1.377139,1.922338,0.096002,6.245460
0.050000,0.605865,2.754757,0.606362,1.473512,1.927445,0.102147,6.240673
0.050000,0.684293,2.751224,0.684869,1.570154,1.932847,0.108043,6.235684
0.050000,0.767542,2.747050,0.768223,1.667081,1.938531,0.113670,6.230513
0.050000,0.855623,2.742170,0.856438,1.764305,1.944481,0.119009,6.225181
0.050000,0.948543,2.736517,0.949530,1.861839,1.950683,0.124035,6.219709
0.050000,1.046312,2.730027,1.047515,1.959695,1.957120,0.128745,6.214119
0.050000,1.148941,2.722633,1.150409,2.057884,1.963776,0.133115,6.208433
0.050000,1.256436,2.714269,1.258230,2.156415,1.970634,0.137153,6.202675
0.050000,1.368809,2.704872,1.370995,2.255299,1.977676,0.140850,6.196869
0.050000,1.486068,2.694379,1.488722,2.354544,1.984887,0.144220,6.191039
0.050000,1.608221,2.682729,1.611430,2.454156,1.992251,0.147275,6.185211
0.050000,1.735279,2.669866,1.739137,2.554144,1.999753,0.150037,6.179411
0.050000,1.867250,2.655734,1.871863,2.654513,2.007380,0.152536,6.173664
0.050000,2.004145,2.640285,2.009626,2.755269,2.015120,0.154809,6.167997
0.050000,2.145972,2.623472,2.152447,2.856417,2.022965,0.156902,6.162436
0.050000,2.292744,2.605254,2.300345,2.957962,2.030909,0.158869,6.157009
0.050000,2.444472,2.585597,2.453341,3.059910,2.038947,0.160770,6.151743
0.050000,2.601167,2.564471,2.611454,3.162264,2.047081,0.162673,6.146667
0.050000,2.762845,2.541856,2.774705,3.265030,2.055314,0.164656,6.141807
0.050000,2.929519,2.517735,2.943116,3.368212,2.063653,0.166797,6.137193
0.050000,3.101207,2.492103,3.116707,3.471818,2.072113,0.169189,6.132853
0.050000,3.277928,2.464963,3.295500,3.575853,2.080709,0.171926,6.128817
0.050000,3.459702,2.436326,3.479516,3.680327,2.089465,0.175109,6.125115
0.050000,3.646554,2.406215,3.668778,3.785247,2.098407,0.178846,6.121777
0.050000,3.838509,2.374662,3.863310,3.890625,2.107569,0.183250,6.118835
0.050000,4.035598,2.341712,4.063133,3.996475,2.116991,0.188439,6.116321
0.050000,4.237852,2.307423,4.268274,4.102811,2.126718,0.194540,6.114267
0.050000,4.445310,2.271867,4.478756,4.209651,2.136803,0.201681,6.112709
0.050000,4.658011,2.235128,4.694607,4.317016,2.147303,0.210001,6.111682
0.050000,4.876001,2.197308,4.915854,4.424930,2.158285,0.219640,6.111223
0.050000,5.099330,2.158526,5.142525,4.533421,2.169822,0.230745,6.111373
0.050000,5.328052,2.118919,5.374651,4.642521,2.181995,0.243467,6.112173
0.050000,5.562227,2.078643,5.612264,4.752266,2.194893,0.257959,6.113666
0.050000,5.801920,2.037878,5.855399,4.862696,2.208612,0.274371,6.115901
0.050000,6.047201,1.996825,6.104092,4.973859,2.223254,0.292848,6.118926
0.050000,6.298146,1.955712,6.358382,5.085806,2.238930,0.313523,6.122795
0.050000,6.554835,1.914795,6.618312,5.198593,2.255755,0.336501,6.127566
0.050000,6.817353,1.874360,6.883926,5.312286,2.273848,0.361856,6.133300
0.050000,7.085791,1.834728,7.155274,5.426952,2.293328,0.389596,6.140065
0.050000,7.360241,1.796257,7.432407,5.542668,2.314310,0.419640,6.147932
0.050000,7.640799,1.759345,7.715383,5.659513,2.336899,0.451787,6.156978
0.050000,7.927560,1.724434,8.004261,5.777572,2.361181,0.485646,6.167286
0.050000,8.220620,1.692017,8.299108,5.896932,2.387211,0.520587,6.178945
