dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002172,24.232000,0.002500,0.099993,1.999867,39.997348,0.000198
0.050000,0.009203,24.232004,0.009531,0.140632,0.812774,-23.741869,0.000837
0.050000,0.020924,24.232020,0.021253,0.234422,1.875805,21.260614,0.001900
0.050000,0.037338,24.232063,0.037666,0.328266,1.876870,0.021307,0.003383
0.050000,0.058447,24.232155,0.058775,0.422184,1.878361,0.029817,0.005281
0.050000,0.084256,24.232321,0.084585,0.516198,1.880276,0.038313,0.007587
0.050000,0.114771,24.232594,0.115101,0.610328,1.882616,0.046781,0.010294
0.050000,0.149999,24.233011,0.150331,0.704597,1.885376,0.055214,0.013392
0.050000,0.189945,24.233616,0.190282,0.799025,1.888556,0.063595,0.016870
0.050000,0.234619,24.234455,0.234964,0.893633,1.892151,0.071904,0.020716
0.050000,0.284028,24.235583,0.284386,0.988440,1.896157,0.080118,0.024916
0.050000,0.338182,24.237056,0.338560,1.083469,1.900568,0.088209,0.029455
0.050000,0.397088,24.238935,0.397496,1.178738,1.905375,0.096147,0.034317
0.050000,0.460758,24.241286,0.461210,1.274266,1.910570,0.103899,0.039484
0.050000,0.529201,24.244178,0.529713,1.370073,1.916141,0.111426,0.044937
0.050000,0.602426,24.247681,0.603022,1.466177,1.922076,0.118691,0.050655
0.050000,0.680443,24.251870,0.681152,1.562595,1.928359,0.125656,0.056618
0.050000,0.763263,24.256822,0.764119,1.659343,1.934973,0.132282,0.062802
0.050000,0.850893,24.262615,0.851941,1.756438,1.941899,0.138531,0.069184
0.050000,0.943345,24.269327,0.944636,1.853894,1.949118,0.144371,0.075740
0.050000,1.040626,24.277039,1.042222,1.951725,1.956607,0.149776,0.082443
0.050000,1.142745,24.285830,1.144719,2.049942,1.964342,0.154716,0.089268
0.050000,1.249711,24.295780,1.252147,2.148557,1.972301,0.159180,0.096186
0.050000,1.361532,24.306965,1.364526,2.247580,1.980459,0.163162,0.103171
0.050000,1.478216,24.319464,1.481877,2.347019,1.988792,0.166659,0.110194
0.050000,1.599769,24.333348,1.604221,2.446883,1.997277,0.169688,0.117226
0.050000,1.726201,24.348690,1.731580,2.547178,2.005890,0.172271,0.124237
0.050000,1.857517,24.365557,1.863975,2.647908,2.014612,0.174439,0.131197
