dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002461,22.768000,0.002500,0.099993,1.999867,39.997348,0.000198
0.050000,0.010428,22.768004,0.010467,0.159348,1.187093,-16.255481,0.000837
0.050000,0.023706,22.768023,0.023744,0.265545,2.123930,18.736728,0.001900
0.050000,0.042290,22.768072,0.042329,0.371688,2.122864,-0.021316,0.003383
0.050000,0.066178,22.768175,0.066217,0.477756,2.121372,-0.029831,0.005281
0.050000,0.095363,22.768363,0.095403,0.583729,2.119456,-0.038326,0.007587
0.050000,0.129841,22.768671,0.129882,0.689585,2.117116,-0.046800,0.010294
0.050000,0.169604,22.769142,0.169648,0.795303,2.114354,-0.055235,0.013392
0.050000,0.214642,22.769824,0.214691,0.900861,2.111174,-0.063617,0.016870
0.050000,0.264945,22.770770,0.265003,1.006240,2.107577,-0.071927,0.020716
0.050000,0.320501,22.772038,0.320574,1.111419,2.103570,-0.080141,0.024916
0.050000,0.381297,22.773691,0.381392,1.216377,2.099159,-0.088233,0.029455
0.050000,0.447319,22.775797,0.447447,1.321094,2.094350,-0.096170,0.034317
0.050000,0.518548,22.778427,0.518725,1.425552,2.089154,-0.103920,0.039484
0.050000,0.594966,22.781656,0.595211,1.529731,2.083582,-0.111445,0.044937
0.050000,0.676553,22.785559,0.676892,1.633613,2.077646,-0.118708,0.050655
0.050000,0.763288,22.790216,0.763751,1.737181,2.071363,-0.125670,0.056618
0.050000,0.855144,22.795709,0.855772,1.840419,2.064748,-0.132290,0.062802
0.050000,0.952098,22.802117,0.952937,1.943310,2.057822,-0.138537,0.069184
0.050000,1.054122,22.809525,1.055229,2.045840,2.050603,-0.144374,0.075740
0.050000,1.161186,22.818012,1.162629,2.147996,2.043114,-0.149769,0.082443
0.050000,1.273259,22.827660,1.275117,2.249765,2.035379,-0.154706,0.089268
0.050000,1.390311,22.838547,1.392674,2.351136,2.027421,-0.159166,0.096186
0.050000,1.512307,22.850750,1.515279,2.452099,2.019264,-0.163140,0.103171
0.050000,1.639214,22.864343,1.642911,2.552646,2.010932,-0.166634,0.110194
0.050000,1.770995,22.879396,1.775550,2.652768,2.002449,-0.169658,0.117226
0.050000,1.907616,22.895974,1.913173,2.752460,1.993838,-0.172233,0.124237
0.050000,2.049040,22.914139,2.055759,2.851716,1.985118,-0.174400,0.131197
0.050000,2.195231,22.933945,2.203285,2.950531,1.976308,-0.176199,0.138077
0.050000,2.346152,22.955443,2.355730,3.048902,1.967423,-0.177689,0.144847
0.050000,2.501769,22.978675,2.513072,3.146826,1.958476,-0.178938,0.151475
0.050000,2.662046,23.003675,2.675287,3.244300,1.949475,-0.180025,0.157931
0.050000,2.826949,23.030471,2.842353,3.341321,1.940423,-0.181039,0.164184
0.050000,2.996446,23.059083,3.014247,3.437887,1.931319,-0.182077,0.170202
0.050000,3.170504,23.089520,3.190947,3.533995,1.922157,-0.183246,0.175956
0.050000,3.349096,23.121782,3.372429,3.629641,1.912924,-0.184660,0.181412
0.050000,3.532192,23.155860,3.558670,3.724821,1.903602,-0.186442,0.186540
0.050000,3.719769,23.191734,3.749646,3.819529,1.894166,-0.188721,0.191306
0.050000,3.911804,23.229370,3.945334,3.913759,1.884584,-0.191630,0.195679
0.050000,4.108276,23.268726,4.145709,4.007500,1.874819,-0.195313,0.199624
0.050000,4.309168,23.309745,4.350746,4.100741,1.864823,-0.199920,0.203109
0.050000,4.514466,23.352356,4.560420,4.193468,1.854543,-0.205603,0.206097
0.050000,4.724158,23.396475,4.774703,4.285664,1.843916,-0.212526,0.208552
0.050000,4.938236,23.442003,4.993568,4.377307,1.832873,-0.220859,0.210437
0.050000,5.156693,23.488823,5.216987,4.468374,1.821334,-0.230778,0.211712
0.050000,5.379528,23.536804,5.444929,4.558835,1.809211,-0.242470,0.212337
0.050000,5.606739,23.585793,5.677361,4.648655,1.796405,-0.256127,0.212266
0.050000,5.838330,23.635621,5.914251,4.737795,1.782807,-0.271949,0.211454
0.050000,6.074303,23.686094,6.155562,4.826210,1.768300,-0.290140,0.209851
