dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002584,14.232000,0.002465,0.098619,1.972371,39.447423,6.282848
0.050000,0.010762,14.231992,0.010644,0.163565,1.298934,-13.468734,6.281780
0.050000,0.024392,14.231961,0.024274,0.272607,2.180841,17.638131,6.280000
0.050000,0.043474,14.231877,0.043356,0.381646,2.180783,-0.001153,6.277508
0.050000,0.068008,14.231698,0.067890,0.490680,2.180675,-0.002165,6.274304
0.050000,0.097991,14.231373,0.097876,0.599705,2.180489,-0.003726,6.270390
0.050000,0.133423,14.230838,0.133311,0.708714,2.180189,-0.005999,6.265766
0.050000,0.174300,14.230017,0.174196,0.817701,2.179731,-0.009148,6.260434
0.050000,0.220617,14.228823,0.220529,0.926654,2.179065,-0.013332,6.254396
0.050000,0.272368,14.227158,0.272307,1.035560,2.178129,-0.018713,6.247655
0.050000,0.329544,14.224912,0.329527,1.144403,2.176857,-0.025447,6.240216
0.050000,0.392133,14.221966,0.392185,1.253162,2.175172,-0.033692,6.232084
0.050000,0.460119,14.218188,0.460276,1.361812,2.172993,-0.043577,6.223267
0.050000,0.533481,14.213438,0.533792,1.470323,2.170232,-0.055230,6.213774
0.050000,0.612195,14.207563,0.612725,1.578663,2.166794,-0.068754,6.203617
0.050000,0.696231,14.200405,0.697065,1.686792,2.162584,-0.084213,6.192810
0.050000,0.785550,14.191795,0.786798,1.794667,2.157501,-0.101641,6.181370
0.050000,0.880109,14.181557,0.881910,1.902240,2.151450,-0.121020,6.169319
0.050000,0.979857,14.169510,0.982383,2.009456,2.144336,-0.142281,6.156681
0.050000,1.084734,14.155466,1.088196,2.116260,2.136072,-0.165288,6.143483
0.050000,1.194672,14.139236,1.199325,2.222589,2.126580,-0.189837,6.129759
0.050000,1.309594,14.120625,1.315744,2.328379,2.115797,-0.215659,6.115545
0.050000,1.429414,14.099441,1.437423,2.433563,2.103677,-0.242397,6.100881
0.050000,1.554037,14.075492,1.564326,2.538073,2.090195,-0.269645,6.085816
0.050000,1.683361,14.048589,1.696418,2.641840,2.075349,-0.296922,6.070398
0.050000,1.817272,14.018550,1.833658,2.744798,2.059164,-0.323710,6.054684
0.050000,1.955654,13.985197,1.976002,2.846883,2.041690,-0.349465,6.038734
0.050000,2.098380,13.948366,2.123404,2.948033,2.023008,-0.373637,6.022610
0.050000,2.245320,13.907900,2.275814,3.048194,2.003223,-0.395706,6.006380
