dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002090,12.768000,0.002465,0.098619,1.972371,39.447423,6.282848
0.050000,0.008704,12.767994,0.009080,0.132290,0.673436,-25.978694,6.281780
0.050000,0.019728,12.767969,0.020104,0.220485,1.763900,21.809275,6.280000
0.050000,0.035162,12.767900,0.035538,0.308683,1.763957,0.001130,6.277508
0.050000,0.055006,12.767756,0.055383,0.396886,1.764063,0.002129,6.274304
0.050000,0.079260,12.767493,0.079638,0.485099,1.764247,0.003682,6.270390
0.050000,0.107923,12.767060,0.108304,0.573326,1.764545,0.005946,6.265766
0.050000,0.140995,12.766395,0.141383,0.661576,1.764999,0.009083,6.260434
0.050000,0.178475,12.765429,0.178876,0.749859,1.765662,0.013258,6.254396
0.050000,0.220363,12.764082,0.220785,0.838189,1.766593,0.018630,6.247655
0.050000,0.266656,12.762264,0.267114,0.926582,1.767861,0.025359,6.240216
0.050000,0.317353,12.759877,0.317867,1.015059,1.769541,0.033591,6.232084
0.050000,0.372450,12.756816,0.373049,1.103644,1.771714,0.043472,6.223267
0.050000,0.431944,12.752963,0.432668,1.192368,1.774470,0.055122,6.213774
0.050000,0.495830,12.748195,0.496731,1.281263,1.777902,0.068639,6.203617
0.050000,0.564101,12.742379,0.565249,1.370368,1.782107,0.084098,6.192810
0.050000,0.636750,12.735376,0.638236,1.459728,1.787183,0.101527,6.181370
0.050000,0.713770,12.727037,0.715705,1.549389,1.793229,0.120911,6.169319
0.050000,0.795149,12.717209,0.797675,1.639406,1.800338,0.142178,6.156681
0.050000,0.880875,12.705729,0.884167,1.729836,1.808598,0.165196,6.143483
0.050000,0.970936,12.692433,0.975204,1.820740,1.818086,0.189762,6.129759
0.050000,1.065316,12.677149,1.070813,1.912183,1.828866,0.215598,6.115545
0.050000,1.163997,12.659702,1.171025,2.004233,1.840984,0.242363,6.100881
0.050000,1.266961,12.639914,1.275873,2.096956,1.854466,0.269635,6.085816
0.050000,1.374186,12.617608,1.385394,2.190421,1.869313,0.296943,6.070398
0.050000,1.485651,12.592603,1.499629,2.284697,1.885501,0.323765,6.054684
0.050000,1.601330,12.564722,1.618621,2.379845,1.902979,0.349555,6.038734
0.050000,1.721200,12.533788,1.742417,2.475929,1.921667,0.373764,6.022610
0.050000,1.845232,12.499630,1.871068,2.573002,1.941460,0.395870,6.006380
0.050000,1.973401,12.462081,2.004623,2.671113,1.962231,0.415403,5.990116
0.050000,2.105679,12.420983,2.143138,2.770305,1.983829,0.431976,5.973891
0.050000,2.242039,12.376187,2.286669,2.870610,2.006095,0.445312,5.957782
0.050000,2.382458,12.327552,2.435272,2.972053,2.028858,0.455261,5.941865
0.050000,2.526912,12.274951,2.589004,3.074650,2.051949,0.461817,5.926220
0.050000,2.675381,12.218271,2.747925,3.178410,2.075205,0.465129,5.910927
0.050000,2.827851,12.157413,2.912091,3.283334,2.098480,0.465488,5.896064
0.050000,2.984312,12.092296,3.081562,3.389417,2.121646,0.463327,5.881710
0.050000,3.144763,12.022856,3.256394,3.496647,2.144606,0.459199,5.867945
0.050000,3.309209,11.949047,3.436645,3.605011,2.167294,0.453756,5.854846
0.050000,3.477667,11.870846,3.622370,3.714495,2.189680,0.447721,5.842488
0.050000,3.650166,11.788249,3.813624,3.825084,2.211773,0.441863,5.830948
0.050000,3.826747,11.701275,4.010462,3.936765,2.233621,0.436970,5.820300
0.050000,4.007467,11.609968,4.212939,4.049531,2.255313,0.433824,5.810618
0.050000,4.192400,11.514395,4.421108,4.163379,2.276972,0.433181,5.801977
0.050000,4.381637,11.414649,4.635024,4.278317,2.298759,0.435751,5.794449
0.050000,4.575293,11.310853,4.854742,4.394361,2.320869,0.442187,5.788112
0.050000,4.773500,11.203155,5.080319,4.511537,2.343522,0.453065,5.783043
0.050000,4.976419,11.091739,5.311813,4.629885,2.366965,0.468872,5.779320
0.050000,5.184233,10.976819,5.549286,4.749458,2.391465,0.489984,5.777029
0.050000,5.394947,10.859874,5.790277,4.819826,1.407357,-19.682159,5.776258
0.050000,5.604434,10.743608,6.029865,4.791759,-0.561344,-39.374010,5.777018
0.050000,5.810712,10.629527,6.265587,4.714449,-1.546208,-19.697276,5.779234
0.050000,6.013877,10.517937,6.497381,4.635868,-1.571608,-0.508012,5.782819
0.050000,6.214007,10.409113,6.725185,4.556081,-1.595738,-0.482590,5.787690
