dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002090,4.232000,0.002487,0.099477,1.989537,39.790733,0.000361
0.050000,0.008712,4.232007,0.009109,0.132442,0.659300,-26.604725,0.001507
0.050000,0.019748,4.232034,0.020145,0.220729,1.765734,22.128677,0.003417
0.050000,0.035198,4.232107,0.035596,0.309004,1.765514,-0.004403,0.006092
0.050000,0.055061,4.232262,0.055459,0.397266,1.765237,-0.005535,0.009534
0.050000,0.079335,4.232545,0.079735,0.485513,1.764936,-0.006028,0.013742
0.050000,0.108018,4.233010,0.108422,0.573745,1.764651,-0.005692,0.018718
0.050000,0.141109,4.233725,0.141520,0.661967,1.764435,-0.004332,0.024463
0.050000,0.178604,4.234765,0.179029,0.750185,1.764348,-0.001734,0.030978
0.050000,0.220499,4.236216,0.220950,0.838408,1.764463,0.002305,0.038260
0.050000,0.266790,4.238174,0.267282,0.926651,1.764863,0.008000,0.046310
0.050000,0.317472,4.240747,0.318029,1.014933,1.765642,0.015569,0.055125
0.050000,0.372537,4.244050,0.373193,1.103278,1.766902,0.025213,0.064700
0.050000,0.431977,4.248210,0.432779,1.191716,1.768759,0.037136,0.075029
0.050000,0.495784,4.253362,0.496793,1.280283,1.771334,0.051507,0.086103
0.050000,0.563945,4.259651,0.565244,1.369021,1.774758,0.068470,0.097911
0.050000,0.636449,4.267232,0.638143,1.457979,1.779164,0.088129,0.110437
0.050000,0.713280,4.276266,0.715504,1.547213,1.784690,0.110520,0.123662
0.050000,0.794422,4.286926,0.797343,1.636787,1.791471,0.135613,0.137564
0.050000,0.879856,4.299388,0.883681,1.726769,1.799636,0.163292,0.152114
0.050000,0.969562,4.313838,0.974543,1.817234,1.809302,0.193336,0.167279
0.050000,1.063515,4.330466,1.069956,1.908263,1.820573,0.225419,0.183022
0.050000,1.161690,4.349467,1.169953,1.999939,1.833528,0.259096,0.199297
0.050000,1.264059,4.371040,1.274571,2.092350,1.848219,0.293810,0.216055
0.050000,1.370592,4.395387,1.383850,2.185583,1.864664,0.328899,0.233238
0.050000,1.481255,4.422708,1.497836,2.279725,1.882844,0.363612,0.250787
0.050000,1.596015,4.453205,1.616579,2.374860,1.902701,0.397140,0.268631
0.050000,1.714834,4.487078,1.740132,2.471067,1.924134,0.428654,0.286699
0.050000,1.837676,4.524520,1.868553,2.568417,1.947001,0.457339,0.304912
0.050000,1.964500,4.565720,2.001902,2.666973,1.971124,0.482456,0.323188
0.050000,2.095268,4.610859,2.140241,2.766788,1.996293,0.503378,0.341440
0.050000,2.229941,4.660106,2.283636,2.867902,2.022275,0.519643,0.359581
0.050000,2.368482,4.713622,2.432154,2.970343,2.048824,0.530988,0.377519
0.050000,2.510855,4.771549,2.585860,3.074128,2.075693,0.537374,0.395163
0.050000,2.657028,4.834020,2.744823,3.179260,2.102643,0.538995,0.412420
0.050000,2.806976,4.901144,2.909110,3.285733,2.129457,0.536279,0.429200
0.050000,2.960679,4.973017,3.078786,3.393530,2.155950,0.529863,0.445412
0.050000,3.118124,5.049711,3.253918,3.502629,2.181978,0.520563,0.460966
0.050000,3.279310,5.131279,3.434568,3.613001,2.207445,0.509338,0.475777
0.050000,3.444248,5.217751,3.620798,3.724617,2.232307,0.497237,0.489758
0.050000,3.612962,5.309133,3.812671,3.837445,2.256575,0.485363,0.502828
0.050000,3.785491,5.405408,4.010244,3.951461,2.280316,0.474822,0.514904
0.050000,3.961893,5.506533,4.213576,4.066644,2.303651,0.466696,0.525908
0.050000,4.142247,5.612437,4.422725,4.182981,2.326751,0.462005,0.535761
0.050000,4.326653,5.723025,4.637749,4.300473,2.349836,0.461693,0.544384
0.050000,4.515235,5.838171,4.858705,4.419131,2.373166,0.466610,0.551696
0.050000,4.708144,5.957720,5.085654,4.538983,2.397041,0.477503,0.557617
0.050000,4.905561,6.081483,5.318658,4.660073,2.421791,0.495000,0.562062
0.050000,5.107695,6.209239,5.557781,4.782461,2.447771,0.519602,0.564942
0.050000,5.314791,6.340728,5.803092,4.906229,2.475354,0.551647,0.566163
0.050000,5.523764,6.473511,6.050683,4.951817,0.911749,-31.272104,0.565646
0.050000,5.730618,6.604550,6.295550,4.897342,-1.089481,-40.024588,0.563432
0.050000,5.934650,6.732940,6.536617,4.821323,-1.520397,-8.618324,0.559615
0.050000,6.135985,6.858349,6.773815,4.743972,-1.547013,-0.532326,0.554286
0.050000,6.334725,6.980481,7.007083,4.665360,-1.572242,-0.504566,0.547532
0.050000,6.530952,7.099068,7.236360,4.585538,-1.596446,-0.484089,0.539436
0.050000,6.724722,7.213874,7.461587,4.504539,-1.619969,-0.470453,0.530077
0.050000,6.916071,7.324686,7.682706,4.422383,-1.643123,-0.463076,0.519534
0.050000,7.105010,7.431320,7.899660,4.339074,-1.666185,-0.461256,0.507887
