dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002619,2.768000,0.002487,0.099477,1.989537,39.790733,0.000361
0.050000,0.010918,2.768008,0.010786,0.165989,1.330236,-13.186015,0.001507
0.050000,0.024751,2.768042,0.024619,0.276656,2.213338,17.662042,0.003417
0.050000,0.044118,2.768134,0.043986,0.387333,2.213557,0.004373,0.006092
0.050000,0.069018,2.768329,0.068887,0.498025,2.213831,0.005492,0.009534
0.050000,0.099453,2.768683,0.099324,0.608731,2.214130,0.005976,0.013742
0.050000,0.135420,2.769267,0.135296,0.719452,2.214412,0.005631,0.018718
0.050000,0.176920,2.770163,0.176805,0.830183,2.214624,0.004252,0.024463
0.050000,0.223948,2.771467,0.223851,0.940919,2.214707,0.001647,0.030978
0.050000,0.276499,2.773287,0.276434,1.051648,2.214586,-0.002403,0.038260
0.050000,0.334565,2.775744,0.334552,1.162357,2.214181,-0.008113,0.046310
0.050000,0.398134,2.778971,0.398203,1.273027,2.213396,-0.015689,0.055125
0.050000,0.467192,2.783113,0.467385,1.383633,2.212129,-0.025346,0.064700
0.050000,0.541717,2.788328,0.542092,1.494146,2.210265,-0.037273,0.075029
0.050000,0.621683,2.794785,0.622318,1.604531,2.207683,-0.051651,0.086103
0.050000,0.707057,2.802663,0.708056,1.714743,2.204252,-0.068621,0.097911
0.050000,0.797799,2.812150,0.799292,1.824735,2.199838,-0.088278,0.110437
0.050000,0.893860,2.823446,0.896015,1.934450,2.194305,-0.110666,0.123662
0.050000,0.995181,2.836756,0.998206,2.043826,2.187517,-0.135754,0.137564
0.050000,1.101693,2.852293,1.105846,2.152793,2.179346,-0.163420,0.152114
0.050000,1.213318,2.870274,1.218910,2.261277,2.169674,-0.193448,0.167279
0.050000,1.329966,2.890918,1.337369,2.369197,2.158398,-0.225508,0.183022
0.050000,1.451533,2.914446,1.461193,2.476469,2.145440,-0.259157,0.199297
0.050000,1.577908,2.941077,1.590343,2.583006,2.130748,-0.293837,0.216055
0.050000,1.708965,2.971027,1.724779,2.688722,2.114304,-0.328885,0.233238
0.050000,1.844570,3.004506,1.864456,2.793528,2.096127,-0.363554,0.250787
0.050000,1.984578,3.041712,2.009323,2.897342,2.076275,-0.397036,0.268631
0.050000,2.128835,3.082835,2.159327,3.000084,2.054850,-0.428497,0.286699
0.050000,2.277182,3.128049,2.314411,3.101684,2.031993,-0.457133,0.304912
0.050000,2.429453,3.177514,2.474515,3.202078,2.007883,-0.482199,0.323188
0.050000,2.585481,3.231370,2.639576,3.301215,1.982730,-0.503075,0.341440
0.050000,2.745096,3.289737,2.809528,3.399053,1.956764,-0.519300,0.359581
0.050000,2.908134,3.352713,2.984307,3.495564,1.930234,-0.530612,0.377519
0.050000,3.074434,3.420374,3.163843,3.590734,1.903385,-0.536974,0.395163
0.050000,3.243840,3.492771,3.348071,3.684557,1.876456,-0.538581,0.412420
0.050000,3.416210,3.569930,3.536923,3.777040,1.849663,-0.535862,0.429200
0.050000,3.591413,3.651854,3.730333,3.868199,1.823190,-0.529454,0.445412
0.050000,3.769331,3.738518,3.928236,3.958058,1.797182,-0.520175,0.460966
0.050000,3.949865,3.829875,4.130568,4.046645,1.771733,-0.508979,0.475777
0.050000,4.132932,3.925849,4.337268,4.133989,1.746887,-0.496921,0.489758
0.050000,4.318471,4.026342,4.548274,4.220121,1.722632,-0.485097,0.502828
0.050000,4.506440,4.131231,4.763527,4.305066,1.698901,-0.474618,0.514904
0.050000,4.696820,4.240366,4.982969,4.388844,1.675573,-0.466560,0.525908
0.050000,4.889613,4.353573,5.206543,4.471468,1.652475,-0.461948,0.535761
0.050000,5.084845,4.470651,5.434190,4.552938,1.629389,-0.461724,0.544384
0.050000,5.282565,4.591375,5.665852,4.633240,1.606052,-0.466740,0.551696
