dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003972,14.231999,0.003704,0.148148,2.962963,59.259259,6.282637
0.050000,0.016333,14.231982,0.016064,0.247205,1.981127,-19.636714,6.280931
0.050000,0.036934,14.231906,0.036665,0.412024,3.296398,26.305424,6.278085
0.050000,0.065776,14.231701,0.065509,0.576867,3.296854,0.009114,6.274100
0.050000,0.102861,14.231269,0.102595,0.741737,3.297388,0.010669,6.268972
0.050000,0.148185,14.230483,0.147927,0.906631,3.297893,0.010099,6.262700
0.050000,0.201747,14.229187,0.201504,1.071543,3.298230,0.006745,6.255283
0.050000,0.263538,14.227197,0.263327,1.236454,3.298227,-0.000061,6.246721
0.050000,0.333545,14.224303,0.333394,1.401338,3.297675,-0.011028,6.237016
0.050000,0.411748,14.220265,0.411701,1.566154,3.296333,-0.026851,6.226172
0.050000,0.498119,14.214816,0.498244,1.730850,3.293921,-0.048229,6.214198
0.050000,0.592617,14.207665,0.593012,1.895357,3.290132,-0.075796,6.201106
0.050000,0.695187,14.198494,0.695991,2.059588,3.284626,-0.110112,6.186915
0.050000,0.805759,14.186963,0.807163,2.223441,3.277047,-0.151587,6.171651
0.050000,0.924245,14.172713,0.926503,2.386792,3.267026,-0.200417,6.155349
0.050000,1.050534,14.155367,1.053978,2.549502,3.254199,-0.256531,6.138051
0.050000,1.184495,14.134535,1.189548,2.711413,3.238224,-0.319501,6.119813
0.050000,1.325970,14.109821,1.333166,2.872353,3.218799,-0.388495,6.100701
0.050000,1.474778,14.080822,1.484773,3.032137,3.195688,-0.462223,6.080793
0.050000,1.630711,14.047141,1.644302,3.190575,3.168741,-0.538948,6.060182
0.050000,1.793536,14.008390,1.811675,3.347470,3.137916,-0.616494,6.038974
0.050000,1.963001,13.964197,1.986807,3.502635,3.103298,-0.692357,6.017285
0.050000,2.138828,13.914212,2.169602,3.655891,3.065106,-0.763843,5.995247
0.050000,2.320730,13.858119,2.359955,3.807075,3.023694,-0.828250,5.973002
0.050000,2.508403,13.795633,2.557758,3.956052,2.979538,-0.883113,5.950700
0.050000,2.701544,13.726514,2.762894,4.102713,2.933217,-0.926426,5.928499
0.050000,2.899847,13.650568,2.975243,4.246982,2.885374,-0.956861,5.906563
0.050000,3.099350,13.569195,3.190702,4.309192,1.244202,-32.823426,5.885438
0.050000,3.296296,13.484116,3.405240,4.290747,-0.368897,-32.261984,5.865574
0.050000,3.490721,13.395652,3.618844,4.272081,-0.373314,-0.088340,5.846985
0.050000,3.682679,13.304118,3.831509,4.253315,-0.375332,-0.040356,5.829678
