dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003170,12.767999,0.003704,0.148148,2.962963,59.259259,6.282637
0.050000,0.013032,12.767985,0.013566,0.197240,0.981835,-39.622566,6.280931
0.050000,0.029467,12.767925,0.030002,0.328716,2.629523,32.953777,6.278085
0.050000,0.052475,12.767762,0.053010,0.460169,2.629063,-0.009210,6.274100
0.050000,0.082053,12.767417,0.082590,0.591595,2.628523,-0.010804,6.268972
0.050000,0.118197,12.766790,0.118740,0.722996,2.628009,-0.010271,6.262700
0.050000,0.160904,12.765757,0.161458,0.854379,2.627661,-0.006961,6.255283
0.050000,0.210166,12.764171,0.210747,0.985761,2.627652,-0.000188,6.246721
0.050000,0.265977,12.761863,0.266605,1.117171,2.628189,0.010737,6.237016
0.050000,0.328327,12.758644,0.329037,1.248647,2.629515,0.026528,6.226172
0.050000,0.397202,12.754299,0.398050,1.380242,2.631909,0.047871,6.214198
0.050000,0.472587,12.748594,0.473651,1.512026,2.635679,0.075416,6.201106
0.050000,0.554465,12.741272,0.555855,1.644084,2.641165,0.109716,6.186915
0.050000,0.642812,12.732059,0.644681,1.776521,2.648724,0.151181,6.171651
0.050000,0.737602,12.720659,0.740154,1.909457,2.658725,0.200021,6.155349
0.050000,0.838803,12.706759,0.842306,2.043033,2.671533,0.256158,6.138051
0.050000,0.946381,12.690029,0.951176,2.177408,2.687492,0.319172,6.119813
0.050000,1.060293,12.670129,1.066814,2.312753,2.706903,0.388230,6.100701
0.050000,1.180494,12.646704,1.189276,2.449253,2.730006,0.462051,6.080793
0.050000,1.306933,12.619393,1.318631,2.587101,2.756950,0.538885,6.060182
0.050000,1.439554,12.587829,1.454956,2.726490,2.787778,0.616566,6.038974
0.050000,1.578294,12.551647,1.598336,2.867610,2.822407,0.692582,6.017285
0.050000,1.723088,12.510483,1.748868,3.010641,2.860619,0.764229,5.995247
0.050000,1.873868,12.463984,1.906656,3.155744,2.902059,0.828805,5.973002
0.050000,2.030563,12.411810,2.071808,3.303057,2.946251,0.883829,5.950700
0.050000,2.193102,12.353640,2.244443,3.452687,2.992615,0.927288,5.928499
0.050000,2.361415,12.289177,2.424678,3.604713,3.040507,0.957845,5.906563
0.050000,2.532281,12.219481,2.609211,3.690660,1.718934,-26.431463,5.885438
0.050000,2.702529,12.145932,2.794668,3.709122,0.369241,-26.993853,5.865574
0.050000,2.872182,12.068736,2.981058,3.727804,0.373641,0.087991,5.846985
0.050000,3.041270,11.988105,3.168387,3.746586,0.375639,0.039953,5.829678
0.050000,3.209832,11.904248,3.356655,3.765369,0.375659,0.000408,5.813654
0.050000,3.377914,11.817378,3.545859,3.784074,0.374110,-0.030983,5.798907
0.050000,3.545573,11.727708,3.735991,3.802643,0.371371,-0.054785,5.785429
0.050000,3.712871,11.635447,3.927043,3.821032,0.367786,-0.071697,5.773206
0.050000,3.879878,11.540803,4.119004,3.839215,0.363661,-0.082492,5.762224
0.050000,4.046673,11.443982,4.311862,3.857178,0.359263,-0.087956,5.752470
0.050000,4.213337,11.345188,4.505608,3.874919,0.354821,-0.088857,5.743927
0.050000,4.379962,11.244620,4.700231,3.892445,0.350525,-0.085912,5.736581
0.050000,4.546643,11.142476,4.895719,3.909772,0.346536,-0.079781,5.730418
0.050000,4.713480,11.038952,5.092065,3.926921,0.342983,-0.071059,5.725427
0.050000,4.880579,10.934243,5.289261,3.943920,0.339969,-0.060274,5.721596
0.050000,5.048051,10.828539,5.487301,3.960798,0.337574,-0.047898,5.718919
0.050000,5.216008,10.722035,5.686181,3.977591,0.335857,-0.034349,5.717388
0.050000,5.384571,10.614920,5.885898,3.994334,0.334857,-0.020008,5.717001
0.050000,5.553859,10.507388,6.086451,4.011064,0.334595,-0.005223,5.717757
0.050000,5.723997,10.399633,6.287842,4.027818,0.335079,0.009671,5.719657
0.050000,5.895113,10.291851,6.490073,4.044633,0.336296,0.024347,5.722706
